Shape_Leng,Name,the_geom,Year,Shape_Area
13036.4580315,New Brighton / St George SZ,"MULTIPOLYGON (((-74.08100100007205 40.63708100001709, -74.08232099994294 40.636349000355445, -74.08379399991477 40.63579199986777, -74.08515199964269 40.63634900003025, -74.08483099945983 40.63674199968327, -74.08542599960774 40.63663899994678, -74.08585400000766 40.63668100018441, -74.08715800030568 40.63767999987217, -74.08759299959117 40.638247999593275, -74.0874180001038 40.63914100015717, -74.08643300036657 40.64297899968597, -74.08663900047928 40.643951000448425, -74.08892099952865 40.646751000230694, -74.08734900001015 40.64762099974498, -74.08651000022758 40.64652999957294, -74.08573900024825 40.646832000242476, -74.08445000048107 40.6467589998388, -74.08128400040745 40.646029999937554, -74.07890299953684 40.64297100040736, -74.07823199956019 40.64223900040286, -74.07807899995441 40.6419600003299, -74.07778199970835 40.641620999618716, -74.07784299956684 40.641289000121084, -74.07694199989857 40.63777200039868, -74.07781999999273 40.63811900001606, -74.07852199979995 40.63830199994771, -74.07885700054258 40.63827900017639, -74.07906299945188 40.63820999963256, -74.0804369996508 40.637401999671184, -74.08044399999748 40.63739800007106, -74.0805890002412 40.637328999818415, -74.08093299987559 40.637279999602654, -74.0808939999421 40.63716500012822, -74.08100100007205 40.63708100001709)))",2012,8385317.60873
10817.1318178,Corona SZ,"MULTIPOLYGON (((-73.86942458231836 40.74915686917738, -73.86968550926491 40.749612361983154, -73.87084215289002 40.75154471169338, -73.87179244187887 40.75332566967316, -73.8720704686952 40.753862005254796, -73.8727110000469 40.755027999760365, -73.87188583255904 40.755113548001056, -73.87099317582592 40.75520380096057, -73.8700830434721 40.755301500597795, -73.86916858653278 40.75539475764342, -73.86815019719812 40.75550384548946, -73.86713034503397 40.75561260746993, -73.86623774040446 40.755705721476446, -73.8653445357632 40.755799748184124, -73.86429755307825 40.755915756479745, -73.86339785770244 40.75599958292833, -73.86250537966028 40.75609916262247, -73.8616109035656 40.75618846543082, -73.8607185203269 40.7562866446189, -73.86055700471788 40.755438154230646, -73.86042245576758 40.754645158380896, -73.86029001598048 40.75393548781295, -73.86023957813659 40.75360485064639, -73.85999430599813 40.753112255699946, -73.85958608711285 40.75232148307495, -73.85917841682945 40.751527286745116, -73.85876324878132 40.75071697140649, -73.85986299966251 40.75037800041326, -73.8611170723241 40.75002424586909, -73.86175071544201 40.74996759180562, -73.86272633497452 40.74986795589228, -73.86405819599422 40.749731096016134, -73.86655661056915 40.74946414912727, -73.8675141286424 40.749375708036716, -73.86845757605887 40.749263820730874, -73.86942458231836 40.74915686917738)))",2012,6983332.01681
11114.7228783,Jackson Heights/East Elmhurst SZ,"MULTIPOLYGON (((-73.88713100050974 40.76488899996316, -73.88658900002495 40.76203899986548, -73.88623000006008 40.760609000167044, -73.88594799977055 40.759219999666776, -73.89106000045204 40.75870099986483, -73.89437899964518 40.7584079999946, -73.89914699944524 40.75791900029309, -73.89897899963714 40.759010000062965, -73.89837600046546 40.759871999835056, -73.89740799976013 40.75997200024939, -73.89757500043225 40.760989999797935, -73.89701099979752 40.76179099964585, -73.89669799974942 40.76187100033555, -73.89672099986183 40.76208899990502, -73.89636200041564 40.76300000023255, -73.89521800055063 40.7639389997412, -73.89441699988524 40.76507899991031, -73.89405799984931 40.76546900038264, -73.89360800021461 40.765689999975706, -73.89279899941018 40.76575900044901, -73.88715400011445 40.764899999646104, -73.88713100050974 40.76488899996316)))",2013,7013031.1488
12877.8132105,Elmhurst SZ,"MULTIPOLYGON (((-73.88207112111428 40.74782992673598, -73.8811374760359 40.74792729339664, -73.88020647995937 40.748024979428386, -73.87983894912786 40.74806172449929, -73.8792777993375 40.74812409126905, -73.8784577937591 40.74821481136566, -73.87741612514101 40.74831937205968, -73.8764795304432 40.74841640156507, -73.87625180240522 40.748438849903124, -73.8754943903676 40.7485236250653, -73.8746294632467 40.74861392715344, -73.87370098289702 40.74871731849186, -73.87277356829075 40.74881295826331, -73.87184095867816 40.74890557709537, -73.87037881236742 40.74906407811679, -73.86942458590768 40.749156850270815, -73.8689139541867 40.74836889474538, -73.86852925223663 40.747588301831264, -73.86843751001739 40.74703119727321, -73.86826502224774 40.74631424124513, -73.86808573885818 40.74560059997118, -73.8678759472161 40.744815323984234, -73.87091100002979 40.743919000023105, -73.87065099963347 40.74261899998714, -73.87348520757998 40.74250093264802, -73.87503099964941 40.74181000007549, -73.87576300030233 40.74245799965102, -73.87610685525836 40.74236510446234, -73.8779444460215 40.74181699133375, -73.87869239475735 40.74159297877938, -73.88011597356261 40.7411711676733, -73.88027765520894 40.74129746100148, -73.88100387976363 40.741840661582536, -73.88188001903225 40.742376978415514, -73.88270051999994 40.74282621311627, -73.88387556322134 40.743397328855224, -73.88471026287716 40.74379441777207, -73.88509442027437 40.743973957648755, -73.88466948393635 40.744589047792736, -73.88425128082284 40.74520183779115, -73.88384252619757 40.745796679639234, -73.88364671082128 40.7460680299624, -73.88340269672844 40.74641760324978, -73.88289293063228 40.747192449774836, -73.8825615006904 40.74766309554915, -73.88256876986529 40.74777784557152, -73.88207112111428 40.74782992673598)))",2013,9246627.02202
6477.63137619,Auburndale SZ,"MULTIPOLYGON (((-73.78522788946776 40.761845694393436, -73.77933591729963 40.76234507511314, -73.77922391853225 40.762194421800885, -73.77867582022344 40.76100140461388, -73.77850355183433 40.760588497043415, -73.77797919532156 40.759312170869606, -73.7775825268706 40.75809160404134, -73.77942699945717 40.757701999566045, -73.78077699955512 40.75756800013289, -73.78336299965744 40.75775100013625, -73.7845760002823 40.760009999882804, -73.78522788946776 40.761845694393436)))",2013,2720082.63686
13491.8291255,Inwood SZ,"MULTIPOLYGON (((-73.91845699967506 40.873070000375, -73.91507699952373 40.87167700022466, -73.91519899982455 40.871578000171354, -73.9143299995603 40.871196999983674, -73.91539800043824 40.87033499989818, -73.91606100021916 40.86979299984618, -73.91695399965195 40.8692589995513, -73.91967800000334 40.86811800004577, -73.92678099979034 40.86574200039295, -73.92730699949726 40.865528000256525, -73.92945100049906 40.86578000030468, -73.92997700000089 40.86608100043399, -73.93096899981846 40.866828999817564, -73.93093099970051 40.867129999831455, -73.93076299961473 40.86740900037785, -73.93026699985707 40.86782099966695, -73.93157199952434 40.86891899979384, -73.93190000009494 40.86906100012719, -73.93234299994438 40.869148000310325, -73.93203000023199 40.86975099982084, -73.9313199999517 40.86899899990137, -73.92867999962012 40.867088000413105, -73.92627000053893 40.86888100023316, -73.92365299948152 40.869399999871725, -73.92223400020691 40.86978100007944, -73.92095200052663 40.870231999709, -73.91967800039924 40.87110900014882, -73.92017400021312 40.87228000020303, -73.91845699967506 40.873070000375)))",2012,4382071.59435
8972.37994976,Baychester SZ,"MULTIPOLYGON (((-73.84640499958144 40.87703300019984, -73.8458020004752 40.8771479998438, -73.84462700014141 40.87805600031636, -73.84323100054998 40.879157999733515, -73.83606699941404 40.876110000313886, -73.83554800019667 40.875622000040444, -73.83520499948938 40.874389999825596, -73.83561700017728 40.87383699985994, -73.83872199991008 40.872813999948455, -73.84351299969782 40.871338000444354, -73.84640499958144 40.87703300019984)))",2013,5098782.03249
13195.0141242,Dongan Hills SZ,"MULTIPOLYGON (((-74.09208699941713 40.586609000135965, -74.07775900034875 40.57931100040595, -74.0790479997881 40.57801099984891, -74.08068099983944 40.5768589996397, -74.08270299989428 40.57593899963667, -74.08394600045361 40.57694999966204, -74.08533500013715 40.57809100001854, -74.0872039998717 40.57851400027709, -74.08814999982951 40.5791169998793, -74.08989699990377 40.579280999583055, -74.0924840000635 40.58008999998517, -74.09410900023856 40.58148999997433, -74.09642799986638 40.58280199970909, -74.09208699941713 40.586609000135965)))",2013,8515679.87097
8453.37565778,Eastchester SZ,"MULTIPOLYGON (((-73.85553700041811 40.87118899976437, -73.85106699965802 40.87115900044946, -73.85024999945905 40.8711890001071, -73.84855699962439 40.871566999910655, -73.84726699968367 40.87073899962257, -73.84726700023748 40.87005599972515, -73.84653500001008 40.86973200031251, -73.84967000037453 40.865722999775656, -73.8505329994613 40.8653110001526, -73.85582700001227 40.86540999970777, -73.85553700041811 40.87118899976437)))",2013,4535712.08096
11343.3802169,Riverdale SZ,"MULTIPOLYGON (((-73.91713000028938 40.892551000352114, -73.91671799955178 40.89326900010583, -73.91573299961689 40.89564899974996, -73.9140399998366 40.895850999895785, -73.91236099970338 40.89564099970144, -73.9102780005844 40.894790999696035, -73.9083859998443 40.89444000035785, -73.9085239997291 40.8939210000134, -73.90844000027461 40.89128899963433, -73.90862999988423 40.89041100028574, -73.90891299974052 40.88962199958005, -73.90966000033342 40.88875999957087, -73.91111800040801 40.88806199960615, -73.91230000016247 40.88664999963786, -73.91487900004347 40.884708000079804, -73.91640499995387 40.8850169998225, -73.91841900026469 40.88545199989394, -73.91886899974463 40.88571200022513, -73.91918900034572 40.88782900013052, -73.91832700028355 40.89067099988553, -73.91713000028938 40.892551000352114)))",2013,8358839.95078
