the_geom,Proj_Name,SIP_YR,DateComplt,SIP_Proj_T,Shape_Leng
"MULTILINESTRING ((-73.96189837815713 40.698188332548426, -73.9619407047924 40.69791168122899))",Classon Av at BQE,2009,12/31/2009 12:00:00 AM +0000,Traffic Network Changes -,101.473314684
"MULTILINESTRING ((-73.96341112129853 40.75763731433703, -73.96292448634901 40.758308988611844))",1st Avenue & E 57th Street,2009,12/31/2009 12:00:00 AM +0000,Pedestrian Safety -,279.392307738
"MULTILINESTRING ((-73.99070669561539 40.68913674407803, -73.98916812738958 40.68861555450303))",Atlantic Ave and Boerum Pl,2009,12/31/2009 12:00:00 AM +0000,Pedestrian Safety -,467.030684427
"MULTILINESTRING ((-73.96283963772186 40.69803866896866, -73.96236579983683 40.699605586517784, -73.96257255374458 40.700512198628374))",Williamsburg Street West,2009,11/01/2009 12:00:00 AM +0000,Protected Bicycle Path - Pedestrian Safety,921.043134884
"MULTILINESTRING ((-74.00252381552596 40.73975264294839, -74.002019378838 40.74044408936729, -74.00155531482741 40.74108002571318, -74.0011291751495 40.741668097817794, -74.00070275560942 40.74225361085881, -74.00027518011483 40.74283879809288, -73.99984823646017 40.7434250192748, -73.99942209042554 40.74400957289199, -73.99897237458379 40.74463005489193, -73.99848652491012 40.74529416415574))",8th Avenue,2009,05/09/2009 12:00:00 AM +0000,Protected Bicycle Path - Pedestrian Safety,2308.19809587
"MULTILINESTRING ((-73.95189452722116 40.74293762327934, -73.95140678404174 40.74318497690268, -73.95133730963718 40.743214970471975), (-73.95133730963718 40.743214970471975, -73.95138938875229 40.742928856367094, -73.95148004000012 40.74261201517286), (-73.95133730963718 40.743214970471975, -73.95071029291738 40.74353805787741), (-73.95123115871647 40.743644683508975, -73.95129639012234 40.7433945142643, -73.95133730963718 40.743214970471975))",Jackson Avenue at Pulaski Bridge,2009,07/31/2009 12:00:00 AM +0000,-,777.127183604
"MULTILINESTRING ((-73.9579289339564 40.821300453092555, -73.9563401043204 40.823092326832366))",12th Ave at W. 135th St,2009,05/09/2009 12:00:00 AM +0000,Traffic Network Changes - Pedestrian Safety,787.134869344
"MULTILINESTRING ((-73.98803809942204 40.74902299994808, -73.9879735769327 40.74949077911838), (-73.98827038358209 40.74914777094605, -73.9879735769327 40.74949077911838), (-73.9879735769327 40.74949077911838, -73.98799035886934 40.74975491369446, -73.9878582106317 40.74980826652757), (-73.9879735769327 40.74949077911838, -73.98783435349533 40.749703755785575, -73.9878582106317 40.74980826652757), (-73.9878582106317 40.74980826652757, -73.98772941912497 40.74985512421659, -73.98729377003009 40.75045160814919), (-73.9878582106317 40.74980826652757, -73.98792038406381 40.749959473423544, -73.98777909954923 40.7506607140102))",BB: Herald Square,2009,08/17/2009 12:00:00 AM +0000,-,1188.39733291
"MULTILINESTRING ((-73.98901110937669 40.74379564801897, -73.98886889500245 40.744532933247605, -73.98872905462927 40.74528637354429, -73.98859130741545 40.74603641888875, -73.98845268053945 40.7467885710855, -73.98830534859746 40.747535517225224, -73.98817709950151 40.74828882263123, -73.98803809942204 40.74902299994808))",BB: W 33rd to W 26th Streets,2009,08/17/2009 12:00:00 AM +0000,-,1923.51453125
"MULTILINESTRING ((-73.98507199325896 40.759390919295114, -73.9848081407174 40.76010372523006, -73.98446447211323 40.76077352786196, -73.98404974058099 40.76142306814148, -73.98362866795615 40.762064789587896, -73.98321466934961 40.76270716783494, -73.98281763041271 40.7633649276776, -73.98246970780883 40.7640334636029, -73.98221563063282 40.76473425998736, -73.98198845049986 40.76545985982678, -73.98184737857326 40.766287166640225))",BB: W 57th to W 47th Streets,2009,08/17/2009 12:00:00 AM +0000,-,2682.86657798
"MULTILINESTRING ((-73.909052427539 40.863032991568495, -73.90884444557473 40.86316345253637, -73.90853215360077 40.86333299279676, -73.90824592729224 40.863457144828146, -73.90795648845254 40.863514037785706, -73.90795640539885 40.86351405572926, -73.90795631049635 40.86351406465845, -73.90774760611386 40.86354446061335, -73.90774753374896 40.8635444686599, -73.90774746256767 40.86354447850837, -73.90753868320186 40.863559565694906))",Sedgwick Ave & Fordham Rd,2009,06/03/2009 12:00:00 AM +0000,-,471.579065668
"MULTILINESTRING ((-73.98640436719195 40.75580802892446, -73.98615540436049 40.75658123604892, -73.98585385330463 40.75719280085306, -73.98591473052362 40.7572966032246), (-73.98694873854572 40.75603590169402, -73.98645825475433 40.75671007219519, -73.98605963408917 40.757276660256466, -73.98591473052362 40.7572966032246), (-73.98591473052362 40.7572966032246, -73.98596825805647 40.7574028009112, -73.98556874370887 40.75793452496041), (-73.98591473052362 40.7572966032246, -73.98579502466589 40.757329324585115, -73.98556874370887 40.75793452496041), (-73.98556874370887 40.75793452496041, -73.9855563109572 40.758089922638504, -73.98552496576752 40.75824478753946, -73.98547487424229 40.758397110642534, -73.98540667617961 40.758544964923985, -73.98531402344369 40.7585988483656, -73.98517312667738 40.75862410658834), (-73.98556874370887 40.75793452496041, -73.98545056036309 40.75802282171358, -73.98545048929643 40.75802287573491, -73.98545043007226 40.75802292975772, -73.9853447023587 40.75812192687264, -73.98534463128986 40.758121989898946, -73.98534457206156 40.75812206193182, -73.98525360960572 40.75823026399933, -73.98517940245864 40.758345555123704, -73.98517931953266 40.75834568208424, -73.98517926029214 40.758345807246776, -73.98512302997867 40.758465972375696, -73.98517312667738 40.75862410658834), (-73.98517312667738 40.75862410658834, -73.98503663838392 40.75865121304732, -73.98463749081296 40.759207015118406), (-73.98517312667738 40.75862410658834, -73.98528641959508 40.75877569769176, -73.98507199325896 40.759390919295114))",BB: Times Square,2009,08/17/2009 12:00:00 AM +0000,-,2811.62096403
