EventDate,Activity,Site_Serve,the_geom,LONG,LAT
2/14/2020,Seniors - Streetwise,Bay Eden Senior Center,POINT (-73.84220405381097 40.88401038300719),-73.8422040538,40.884010383
2/26/2020,Seniors - Streetwise,Brighton Manhattan Beach Senior Center,POINT (-73.9535278273121 40.580185276244016),-73.9535278273,40.5801852762
2/25/2020,Seniors - Streetwise,Brookdale Village Senior Center,POINT (-73.75320673026553 40.593760713004734),-73.7532067303,40.593760713
2/20/2020,Seniors - Streetwise,East Harlem Senior Center,POINT (-73.93903729712845 40.80170327257144),-73.9390372971,40.8017032726
2/27/2020,Seniors - Streetwise,JASA Luna Park Senior Center,POINT (-73.9796249660527 40.57734650803654),-73.9796249661,40.577346508
2/24/2020,Seniors - Streetwise,JASA Mechler Hall Senior Center,POINT (-73.85186909890447 40.82958746401426),-73.8518690989,40.829587464
2/12/2020,Seniors - Streetwise,JSPOA Friendship Center,POINT (-73.78913620491659 40.70619300062288),-73.7891362049,40.7061930006
2/7/2020,Seniors - Streetwise,Louis Armstrong Social Club,POINT (-73.95096519571231 40.68730230222797),-73.9509651957,40.6873023022
2/3/2020,Seniors - Streetwise,Mill Basin Senior Center,POINT (-73.91022563741352 40.618864009582815),-73.9102256374,40.6188640096
2/21/2020,Seniors - Streetwise,PSS Davidson Center,POINT (-73.90182099650694 40.8228119523676),-73.9018209965,40.8228119524
2/12/2020,Seniors - Streetwise,Rochdale Village Senior Center,POINT (-73.77064063086992 40.672621917997304),-73.7706406309,40.672621918
2/18/2020,Seniors - Streetwise,Rockaway Boulevard Senior Center,POINT (-73.79572549135439 40.67452192005507),-73.7957254914,40.6745219201
2/18/2020,Seniors - Streetwise,Theodora Jackson Senior Center,POINT (-73.79410812822114 40.7044563260954),-73.7941081282,40.7044563261
2/19/2020,Seniors - Streetwise,Tompkins Park Center,POINT (-73.94877544827177 40.68866549946225),-73.9487754483,40.6886654995
1/15/2020,Seniors - Streetwise,Andrew Jackson Senior Center,POINT (-73.91799496971774 40.82143850626986),-73.9179949697,40.8214385063
1/28/2020,Seniors - Streetwise,Bayside Senior Center,POINT (-73.75655945292667 40.749688161076),-73.7565594529,40.7496881611
1/14/2020,Seniors - Streetwise,Catholic Charities RAPP at Brownsville Program,POINT (-73.90494817155785 40.662169766462085),-73.9049481716,40.6621697665
1/8/2020,Seniors - Streetwise,CPC Open Door Senior Center,POINT (-73.99828642911754 40.71968998524792),-73.9982864291,40.7196899852
1/16/2020,Seniors - Streetwise,Flushing Adult Daycare Center,POINT (-73.82788000532867 40.76082601254399),-73.8278800053,40.7608260125
1/8/2020,Seniors - Streetwise,GOLES Senior Program,POINT (-73.9834872045823 40.72448390705272),-73.9834872046,40.7244839071
1/17/2020,Seniors - Streetwise,Internation Towers Senior Center,POINT (-73.79057864400794 40.70857809540043),-73.790578644,40.7085780954
1/24/2020,Seniors - Streetwise,Newtown Senior Center,POINT (-73.8796864972161 40.737204567433736),-73.8796864972,40.7372045674
1/15/2020,Seniors - Streetwise,NYPL Kips Bay Branch,POINT (-73.97962462164114 40.74368284128026),-73.9796246216,40.7436828413
1/29/2020,Seniors - Streetwise,Park Slope Center for Successful Aging,POINT (-73.9812012575069 40.66841893461852),-73.9812012575,40.6684189346
1/10/2020,Seniors - Streetwise,PSS City Island Senior Center,POINT (-73.78418735372358 40.84109631984894),-73.7841873537,40.8410963198
1/17/2020,Seniors - Streetwise,PSS Highbridge Gardens,POINT (-73.928282490906 40.837076514356056),-73.9282824909,40.8370765144
1/16/2020,Seniors - Streetwise,Riverdale Senior Center,POINT (-73.9156786613724 40.87874353611451),-73.9156786614,40.8787435361
1/7/2020,Seniors - Streetwise,Seaside Senior Center,POINT (-73.81730901796327 40.58769920075752),-73.817309018,40.5876992008
1/16/2020,Seniors - Streetwise,YLC Adult Day Care Center,POINT (-73.88743854661988 40.74725820093737),-73.8874385466,40.7472582009
12/6/2019,Seniors - Streetwise,Andrew Jackson Senior Center,POINT (-73.91799496971774 40.82143850626986),-73.9179949697,40.8214385063
12/30/2019,Seniors - Streetwise,Hamilton Innovative Senior Center,POINT (-73.97952727214215 40.778623406155845),-73.9795272721,40.7786234062
12/3/2019,Seniors - Streetwise,JASA Senior Center at HES,POINT (-73.8912200021214 40.632807609601834),-73.8912200021,40.6328076096
12/2/2019,Seniors - Streetwise,Midwood Neighborhood Center,POINT (-73.9178579973223 40.62506471348379),-73.9178579973,40.6250647135
12/18/2019,Seniors - Streetwise,NY Chinatown Senior Center,POINT (-73.99920278213386 40.7160916150127),-73.9992027821,40.716091615
12/16/2019,Seniors - Streetwise,Parkside Neighborhood Senior Center,POINT (-73.8691060446486 40.86967006419504),-73.8691060446,40.8696700642
12/4/2019,Seniors - Streetwise,Philip Howard NORC Program,POINT (-73.94475658585658 40.630095516909684),-73.9447565859,40.6300955169
12/3/2019,Seniors - Streetwise,PSS Highbridge Gardens Senior Center,POINT (-73.92570561920876 40.837231331470214),-73.9257056192,40.8372313315
12/2/2019,Seniors - Streetwise,RAIN NYCHA GUN HILL APARTMENTS,POINT (-73.86706003054135 40.87487167007734),-73.8670600305,40.8748716701
12/10/2019,Community Fair,RAIN Senior Center,POINT (-73.85356829316144 40.898157757410566),-73.8535682932,40.8981577574
12/24/2019,Seniors - Streetwise,Senior Citizen League of Flatbush,POINT (-73.9710573610809 40.62721762755453),-73.9710573611,40.6272176276
12/9/2019,Seniors - Streetwise,Senior Citizen League of Flatbush Midwood Center,POINT (-73.9557426823935 40.6223407484119),-73.9557426824,40.6223407484
12/27/2019,Seniors - Streetwise,Stuy Town Senior Center,POINT (-73.98102491986971 40.73073882741249),-73.9810249199,40.7307388274
12/4/2019,Seniors - Streetwise,Woodside Senior Center,POINT (-73.91104729325207 40.75372352446412),-73.9110472933,40.7537235245
11/1/2019,Seniors - Streetwise,BRC Senior Center,POINT (-73.99226907840243 40.719791294328004),-73.9922690784,40.7197912943
11/1/2019,Seniors - Streetwise,Center at Lenox Hill Neighborhood House,POINT (-73.95739042375924 40.766685966727515),-73.9573904238,40.7666859667
11/13/2019,Seniors - Streetwise,Hudson Guild Elliott-Chelsea NORC Program,POINT (-74.00181538495838 40.74919608610555),-74.001815385,40.7491960861
11/12/2019,Seniors - Streetwise,JASA Bartow Senior Center,POINT (-73.82858224608016 40.869471512751005),-73.8285822461,40.8694715128
