Filing Period,Taxable Amount,Total AmountDue,Date Paid,Name,Street Address,Street Address2,City,State,Zip,Location1
11/01/2018 12:00:00 AM,13676.14,4102.84,12/27/2018,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,,Mountville,PA,17554,"200 Lincoln West Drive
Mountville, PA 17554
(40.038852, -76.412807)"
03/01/2018 12:00:00 AM,13658.65,4097.59,04/16/2018,MJ Vape LLC,19328 Montgomery Village Ave,,Gaithersburg,Maryland,20886,"19328 Montgomery Village Ave
Gaithersburg, Maryland 20886
(39.173257, -77.203734)"
02/01/2019 12:00:00 AM,95.00,28.50,03/26/2019,"C&S Wholesale Grocers, Inc. (AWI)",10 Optical Avenue,,Keene,New Hampshire,03431,"10 Optical Avenue
Keene, New Hampshire 03431
(42.922316, -72.263149)"
07/01/2019 12:00:00 AM,2915.00,874.50,08/03/2019,smoke Island inc,11230 Georgia ave,,silver spring,MD,20902,"11230 Georgia ave
silver spring, MD 20902
(39.03947, -77.051214)"
03/01/2018 12:00:00 AM,237.50,71.25,04/18/2018,"C&S Wholesale Grocers, Inc. (AWI)",10 Optical Avenue,,Keene,New Hampshire,03431,"10 Optical Avenue
Keene, New Hampshire 03431
(42.922316, -72.263149)"
03/01/2018 12:00:00 AM,166.25,49.87,04/04/2018,"Delhaize America Distribution, LLC",1703 East D Street,,Butner,NC,27509,"1703 East D Street
Butner, NC 27509
(36.157157, -78.730843)"
02/01/2019 12:00:00 AM,14680.60,4404.18,03/07/2019,Core-Mark Midcontinent Inc.,"395 Oyster Point Blvd, Suite 415",,South San Francisco,California,94080,"395 Oyster Point Blvd, Suite 415
South San Francisco, California 94080
(37.6664, -122.383189)"
03/01/2018 12:00:00 AM,46264.27,13879.28,04/20/2018,"AVAIL Vapor, LLC",820 Southlake Blvd,,Richmond,Virginia,23236,"820 Southlake Blvd
Richmond, Virginia 23236
(37.503787, -77.59775)"
07/01/2019 12:00:00 AM,10836.66,3250.99,08/06/2019,George J. Falter Co. Inc.,3501 Benson Avenue,PO Box 24176,Baltimore,MD,21227,"3501 Benson Avenue
Baltimore, MD 21227
(39.265934, -76.673132)"
03/01/2018 12:00:00 AM,0.00,0.00,04/25/2018,"C&S Wholesale Grocers, Inc.",Tax Department,7 Corporate Drive,Keene,NH,03431,"Tax Department
Keene, NH 03431"
03/01/2018 12:00:00 AM,23.04,6.91,04/25/2018,Triple C Wholesalers Inc,2801 W Patapsco Ave #B,,Baltimore,MD,21230,"2801 W Patapsco Ave #B
Baltimore, MD 21230
(39.255189, -76.658445)"
03/01/2018 12:00:00 AM,23110.37,6933.11,04/26/2018,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,,Mountville,PA,17554,"200 Lincoln West Drive
Mountville, PA 17554
(40.038852, -76.412807)"
03/01/2018 12:00:00 AM,6089.03,1826.70,04/13/2018,Core-Mark Midcontinent Inc.,"395 Oyster Point Blvd, Suite 415",,South San Francisco,California,94080,"395 Oyster Point Blvd, Suite 415
South San Francisco, California 94080
(37.6664, -122.383189)"
03/01/2018 12:00:00 AM,1467.10,440.13,04/24/2018,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,,Halethorpe,Maryland,21227,"1772 Sulphur Spring Road STE 103
Halethorpe, Maryland 21227
(39.245154, -76.677997)"
03/01/2018 12:00:00 AM,68498.96,20549.68,04/18/2018,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,,Fredericksburg,Virginia,22406,"56 McLane Drive
Fredericksburg, Virginia 22406
(38.34753, -77.494939)"
