name;segment;length;status;geo_shape;width;trailtype;surftype;installdate;priorcorr;pilzone;equestrian;ada;projname;projnum;lastmaint;notes;rating;looptrail;loopname;geo_point_2d
Wynston Ridge Greenway;Speight Branch to Windstream Way;0.17423464999999902;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.75379686119837, 35.731015610687585], [-78.75361690580648, 35.73119066673221], [-78.75363115803373, 35.73146212676583], [-78.75365517717037, 35.731541076855706], [-78.75326812538971, 35.731922798891254], [-78.75284811205312, 35.73222896743603], [-78.75263615889632, 35.73245338039804], [-78.75244277182888, 35.732638886563144], [-78.75201399008928, 35.73294488652356]]}";0.0;Greenway;Asphalt;;NA;South;;;;;;;;;;35.7320408078, -78.7530259239
Camp Branch Greenway;Parallels Middle Creek;1.57956018;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.76301538554765, 35.652649568720534], [-78.76270953243841, 35.65251807286235], [-78.76240418302017, 35.65224377221288], [-78.76215802651635, 35.6516720827636], [-78.7612987111145, 35.65133719358739], [-78.76013512948907, 35.651506066917776], [-78.759837279215, 35.65137442812617], [-78.75951648642469, 35.65126146043532], [-78.75910402298318, 35.65112958775485], [-78.75899004682624, 35.65088597256475], [-78.75869203343291, 35.65081049213077], [-78.75837163529741, 35.650566466612204], [-78.75795906540017, 35.65047203502245], [-78.75756904914847, 35.6504899808516], [-78.75729429388002, 35.65032093207979], [-78.75708899231292, 35.64994607626667], [-78.7569301330516, 35.64937855583746], [-78.75564035496326, 35.64890169891181], [-78.75486765621763, 35.64821508491606], [-78.75477604235742, 35.647316666629344], [-78.75435562336355, 35.6466260725336], [-78.75356411130477, 35.6464089234629], [-78.75345929322857, 35.646150056340474], [-78.75314252536333, 35.6461063069227], [-78.7520358864407, 35.64528497556515], [-78.75209070910621, 35.64463844810053], [-78.75209163231803, 35.644336688272624], [-78.7517231692269, 35.64394795208227], [-78.75177632489826, 35.643818735405375], [-78.75108938920765, 35.64394665656739], [-78.75066702945087, 35.643902684491735], [-78.75034974063743, 35.64403135876044], [-78.74966413268, 35.643728184029854], [-78.7490308884736, 35.643554442281], [-78.74845022129432, 35.64346702429327], [-78.74813381853258, 35.6433370433116], [-78.74771146357136, 35.643293056456876], [-78.7471318758857, 35.64286076111293], [-78.74639304369906, 35.64268678596667], [-78.7452828096121, 35.64307245039414], [-78.74401553365453, 35.64298357117403], [-78.74348676348163, 35.64319800058091], [-78.74295853747665, 35.64323999669062], [-78.7421965525889, 35.64296593579944]]}";0.0;Greenway;Asphalt;;RTP To Middle Creek;South;;;;;;;;;;35.6467379566, -78.7530300765
Swift Creek Greenway;Lily Atkins Rd to Holly Springs Rd;0.51024097;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.75412781480773, 35.72502894666765], [-78.75421574650144, 35.724364883277644], [-78.75440429617952, 35.722545235877845], [-78.7543627960903, 35.722371112478584], [-78.75404981247549, 35.721676555346576], [-78.75422366082049, 35.72120336987088], [-78.75379967279527, 35.721007822235244], [-78.75366800371187, 35.72101576097996], [-78.75287954839693, 35.72027690079288], [-78.75170044972144, 35.71976611702062], [-78.75216212786812, 35.71900900452176], [-78.75220007684705, 35.718937935316475]]}";0.0;Greenway;Asphalt;;NA;South;;;;;;;;;;35.7216410322, -78.7534901201
Convention Dr Street-Side Trail;Parallels Convention Dr;0.5265758699999991;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.76093960100653, 35.769624834321824], [-78.7608189261152, 35.7698499329519], [-78.76054969895053, 35.77009381476978], [-78.76024023690424, 35.77037740955014], [-78.75985215945822, 35.7707120010183], [-78.75978754884115, 35.77073034406644], [-78.75957835631654, 35.77073561886667], [-78.75946316152475, 35.77075954850326], [-78.75938461552062, 35.77078781110681], [-78.7592077453322, 35.77091993106444], [-78.7588592395503, 35.771237067206506], [-78.75834850356546, 35.77169225116068], [-78.75814854464609, 35.77187811443386], [-78.75783562493956, 35.77215743002282], [-78.75730763442535, 35.77262957012327], [-78.75637384133793, 35.77351725589954], [-78.75620515471039, 35.77367109584015], [-78.75603374195376, 35.77383416980157], [-78.7557460138497, 35.77411139683354], [-78.75563766109616, 35.7742120728299], [-78.75561336042509, 35.774249311048955], [-78.75558954311077, 35.77429349331694], [-78.75557485408201, 35.774329596184884], [-78.75555869396295, 35.77437815453174], [-78.75554477883792, 35.77443668538912], [-78.75553923217215, 35.77448713532714], [-78.75554412449756, 35.774876503136646], [-78.75554818769334, 35.77506589439829], [-78.75554871003771, 35.775143765591885], [-78.75554777733367, 35.77520169604976], [-78.75554690563523, 35.77523907139204], [-78.75554573324605, 35.775291767240454], [-78.75554368424638, 35.77538858680935], [-78.7555436005436, 35.77544007793525]]}";0.0;Street-Side;Concrete;;Um Park To Hemlock;Central;;;;;;;;;;35.7723064102, -78.7578699178
Louis Stephens Dr Street-Side Trail;Cornerstone Dr to Carramore Ave;0.49325763;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.85703372645732, 35.79187247456634], [-78.8571519977963, 35.791968136509965], [-78.8572664658663, 35.792069509283714], [-78.85737891870443, 35.79216703536792], [-78.8575895100072, 35.79235188352961], [-78.8577031719856, 35.79243352818948], [-78.85801884539258, 35.792642296368975], [-78.85816331226033, 35.79270361519333], [-78.8580950496353, 35.792788472662146], [-78.858051814466, 35.79287789209258], [-78.85797366217338, 35.79307372275654], [-78.85789263849354, 35.79331937612084], [-78.85785201751008, 35.79345635865319], [-78.85782256901336, 35.793616005792984], [-78.8577957762239, 35.793847002525915], [-78.85779215238134, 35.79408647454196], [-78.85776722073687, 35.79488899794719], [-78.85775482847467, 35.79579936396996], [-78.85774513956845, 35.796323696290955], [-78.85774500333785, 35.79664079284903], [-78.85774871902827, 35.79687635418568], [-78.85776226672316, 35.79708248292284], [-78.85782666978456, 35.79737342574291], [-78.85815419569255, 35.79852695926977]]}";0.0;Street-Side;Concrete;;RTP To Middle Creek;West;;;;;;;;;;35.7949736412, -78.8577943967
Holly Springs Rd Sidewalk Connector;Penny Rd to Swift Creek Trail;0.98417708;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.75220007684705, 35.718937935316475], [-78.75224305927968, 35.71887372220232], [-78.75243015426635, 35.718586784049336], [-78.75261456661727, 35.71826797961516], [-78.75281754077717, 35.717937925683025], [-78.75307767954116, 35.71753203208264], [-78.7532818802187, 35.71721282952086], [-78.75355415782107, 35.71677390908923], [-78.75376752334311, 35.71643055500886], [-78.75387809168907, 35.71626899808313], [-78.75397701887499, 35.71614095910672], [-78.75414634256808, 35.71596126982861], [-78.75427848181862, 35.71585105095311], [-78.75453122769933, 35.71568435772302], [-78.75480084552109, 35.71553545123187], [-78.75499829785652, 35.71543868258045], [-78.75511349878018, 35.71535900749607], [-78.75517953180992, 35.71530192798785], [-78.75525403715694, 35.71522779182318], [-78.75537998645365, 35.715019210450414], [-78.7554822721055, 35.71478167642716], [-78.75559911394946, 35.71454861435791], [-78.75569913333209, 35.71439216238251], [-78.75586650498757, 35.71413125640872], [-78.7560376674662, 35.71389753214527], [-78.75616766301836, 35.71371436838085], [-78.75634781594918, 35.713486839622625], [-78.75652475055604, 35.71332106120119], [-78.75675926250193, 35.71313625168385], [-78.75700364834924, 35.712972462334236], [-78.75706507526502, 35.71293367479987], [-78.75713721014338, 35.71289058835452], [-78.75721001355633, 35.71284935820987], [-78.75737832975345, 35.7127761991799], [-78.7575481175936, 35.71271786580487], [-78.75772696773396, 35.712670664969636], [-78.7579224207927, 35.71261916222515], [-78.75804381031057, 35.712579894926236], [-78.75819514993839, 35.712523151840315], [-78.75834626146755, 35.71245759365814], [-78.75857679147992, 35.71233500028103], [-78.75878519548586, 35.71220471002367], [-78.7589379698312, 35.71208959460562], [-78.75902494684064, 35.71201087749671], [-78.75913020901733, 35.711900637890984], [-78.75939715656325, 35.711594802431726], [-78.75948815921308, 35.71149288276757], [-78.75977987721448, 35.71123944130633], [-78.75996107320216, 35.71110959015104], [-78.76026980963928, 35.710909395900806], [-78.76036527046821, 35.7108371320762], [-78.76043197903377, 35.71077708729237], [-78.7604883893348, 35.71072454410688], [-78.76056888343739, 35.710644419598644], [-78.76063879109566, 35.71055562110248], [-78.76078161562239, 35.710328930679175], [-78.76089749649512, 35.71012875942526], [-78.76101020951661, 35.709946137741085], [-78.76105162639534, 35.70983770807381], [-78.76109003388946, 35.709721380118395], [-78.76120397068165, 35.70943750203501], [-78.76127051218137, 35.70923336399956], [-78.76157578800094, 35.70943282815222], [-78.76289248011292, 35.710291256537644]]}";0.0;Sidewalk Connector;Concrete;;NA;South;;;;;;;;;;35.71341668, -78.7572939086
Twin Lakes Greenway;McCrimmon Pkwy to Twin Lakes Trail;0.4288076;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.84985506323464, 35.83012685069552], [-78.85011130728633, 35.83031637133141], [-78.85007449118125, 35.83034032215328], [-78.84995227866793, 35.83047881428743], [-78.84987178269893, 35.8305893614821], [-78.84975670028962, 35.83079418020313], [-78.84995369250659, 35.831126186830616], [-78.85012898305682, 35.83142745363036], [-78.85008751958584, 35.831546516900254], [-78.8503032170377, 35.83179911174626], [-78.85047623413956, 35.83200852074658], [-78.85061350311133, 35.832121062225795], [-78.85068168790986, 35.83219225971389], [-78.85080499500529, 35.8324203693805], [-78.85085681222908, 35.83254075477727], [-78.85095037641636, 35.83270802423891], [-78.85107300511007, 35.8329393225649], [-78.85117900335456, 35.83313311328875], [-78.8511813013524, 35.833167892056274], [-78.85105626659885, 35.83337224630525], [-78.85110521855357, 35.83353742588473], [-78.85155488163619, 35.83370394308248], [-78.85201347419309, 35.83466027726942], [-78.85238717859926, 35.835458231672625]]}";0.0;Greenway;Asphalt;;NA;Central;;;;;;;;;;35.8327312953, -78.8509407421
GLC Rd Street-Side Trail (East);Stonewater to Village at the Park - east side;0.29048308;Funded;"{""type"": ""MultiLineString"", ""coordinates"": [[[-78.89942585487059, 35.85149706895507], [-78.89944807046498, 35.85160971381009], [-78.89946249009591, 35.85168213342648], [-78.8995530997945, 35.852017298975085], [-78.8996890729512, 35.85244006698301], [-78.89976116167293, 35.852677552506755], [-78.89983381195356, 35.852938405198984], [-78.8998721609719, 35.85324005773748], [-78.89987817695673, 35.853354564792134], [-78.89987367340315, 35.853721646886925], [-78.8998436191911, 35.85401016408868], [-78.89981548675128, 35.85411024445168], [-78.89974676492709, 35.8542856410147], [-78.89969600852584, 35.85439673491264], [-78.8996403590159, 35.854508228550266], [-78.89950182239679, 35.85465124338549], [-78.89938716285633, 35.854793615288514]], [[-78.89941451009574, 35.850716272789285], [-78.89941416976326, 35.85085362865951], [-78.8994099184807, 35.851151645633315], [-78.89941121104796, 35.85133352905752], [-78.89942585487059, 35.85149706895507]]]}";0.0;Street-Side;Concrete;;NA;West;;;;;;;;;;35.8528062234, -78.8996511129
Sowter Greenway;Carpenter Area;0.49917441;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.86360736769562, 35.82862548705666], [-78.86384738620033, 35.82862885865217], [-78.86402632898114, 35.82864192396712], [-78.8641895216883, 35.82864210589082], [-78.86437911241916, 35.82864231696815], [-78.86457392554921, 35.82864681937596], [-78.86479500847955, 35.8286770763682], [-78.86488280340134, 35.8286771989508], [-78.86541965545337, 35.82870208096139], [-78.86575292475055, 35.82872213799033], [-78.86634452303826, 35.828638994143425], [-78.86726325906538, 35.8282514229878], [-78.86806051545616, 35.827827581823755], [-78.8692504337474, 35.827664382922634], [-78.86966487182626, 35.82760759138445], [-78.87000795538597, 35.827553607523534], [-78.87008887056943, 35.827478598563594], [-78.87010003308424, 35.8272494851199], [-78.87011102590223, 35.827178996587094], [-78.87020841330445, 35.82713944088808], [-78.87034120377336, 35.82711104518816], [-78.87045194778217, 35.827104449824645], [-78.87053855306989, 35.82710894663506], [-78.87066295641715, 35.82710467389269], [-78.8708036136487, 35.82711363716078], [-78.8708306863033, 35.82711366585129], [-78.87098764191144, 35.827109422760536], [-78.87109582401138, 35.82712275701878], [-78.8712365175231, 35.82710968590676], [-78.87132312289694, 35.827061311930656], [-78.87143140312074, 35.827065830985106], [-78.87152335702112, 35.827048303324545], [-78.87158293388505, 35.82702633128139], [-78.87163703478147, 35.82699995314838], [-78.87167499280001, 35.82699558741128], [-78.87173986108702, 35.82698684157375]]}";0.0;Greenway;Asphalt;;NA;West;;;;;;;;;;35.8279942084, -78.8677668936
Olde Carpenter Greenway;Kit Creek Trail to Hwy 55;1.20374713;Proposed;"{""type"": ""LineString"", ""coordinates"": [[-78.87678064904064, 35.82934609034137], [-78.8767710799526, 35.82931611777245], [-78.87658412403792, 35.829356506491074], [-78.8761233552617, 35.829264732647694], [-78.87562278439844, 35.82917037831072], [-78.8752211276981, 35.8290862730756], [-78.87514643486723, 35.82906590496386], [-78.87506277635622, 35.82900801157576], [-78.87500363203657, 35.82886013829325], [-78.87495783601669, 35.828696409856654], [-78.87491819320748, 35.828590376416386], [-78.87483892761783, 35.828310527701326], [-78.87477359369755, 35.82818355336052], [-78.87466852615135, 35.82800967168194], [-78.87455015133574, 35.827824962952185], [-78.87445223416815, 35.82760854474433], [-78.87436653285611, 35.82745559627636], [-78.87429405088204, 35.8273711579558], [-78.87421533805147, 35.82733430249008], [-78.87409765467748, 35.82730245417746], [-78.87395418938004, 35.827308075329825], [-78.8737451301715, 35.827355446505926], [-78.87359467342574, 35.82735601164361], [-78.87345739882514, 35.82734000851024], [-78.87335209461199, 35.827319706649575], [-78.87328043391916, 35.82730377056797], [-78.87325388505946, 35.82729292610305], [-78.87307759050161, 35.82736701317539], [-78.87292065892282, 35.8274627466933], [-78.87279662586393, 35.82750011355943], [-78.87263996182249, 35.827479040921716], [-78.8725479161412, 35.827447217897735], [-78.87248252957124, 35.82741037434458], [-78.87240381648998, 35.827320880929285], [-78.87234466108697, 35.827236456293534], [-78.87231897167236, 35.827215520330526], [-78.87220754738198, 35.82717286348831], [-78.8719721124037, 35.827099788059236], [-78.87184114595944, 35.827041245138716], [-78.87178804765792, 35.82702027934123], [-78.8717456051943, 35.82698057526021], [-78.8716572233797, 35.82687304637179], [-78.87163708421856, 35.82675621455943], [-78.87167624924827, 35.8266293529879], [-78.87182000506128, 35.82643914415766], [-78.87193079606158, 35.826349128465466], [-78.87203533747646, 35.82631751592975], [-78.87222481270416, 35.826280218440274], [-78.87247988476622, 35.82625308600056], [-78.87270928446785, 35.826194919551114], [-78.8728722857063, 35.82615254595508], [-78.87297681064211, 35.82613102479106], [-78.87305559646589, 35.826120289095975], [-78.87321859847344, 35.826077918642184], [-78.87330370768576, 35.82601455346251], [-78.8733622672208, 35.825940348281236], [-78.87332962806188, 35.825834316088695], [-78.87325102455657, 35.82572896257041], [-78.87315205358101, 35.82559690841637], [-78.87311323197565, 35.82550745690822], [-78.87305416094041, 35.82536967567456], [-78.87300417502264, 35.8252469110288], [-78.87292231503955, 35.82506783493632], [-78.87289371977718, 35.82501809041625], [-78.87267285485332, 35.82501477825857], [-78.87250110875794, 35.825041306072414], [-78.87235386232656, 35.82504130429268], [-78.87218612782732, 35.82509104873812], [-78.87206751169306, 35.825117578460365], [-78.87195707127118, 35.8251474254408], [-78.87187123064022, 35.825193852023055], [-78.87180171304018, 35.82515737508006], [-78.87175671543339, 35.825081099494255], [-78.87173214199203, 35.824994881170625], [-78.87169536129569, 35.82489539231454], [-78.8716544334361, 35.824805856080225], [-78.8716380568626, 35.82476274259814], [-78.87160055131716, 35.82469540882594], [-78.87151479088203, 35.82458499824953], [-78.87147596244199, 35.82450059453462], [-78.8714753380493, 35.82436287319515], [-78.8715207506207, 35.82417760829601], [-78.87151380052785, 35.8240932381777], [-78.87146616322697, 35.82398070452787], [-78.87143717590129, 35.82386025700934], [-78.87143111396578, 35.82374776627852], [-78.8714515998773, 35.82369875816749], [-78.87144722036437, 35.82364251137763], [-78.87188651498514, 35.823584568515635], [-78.87246121297547, 35.8234950389577], [-78.87242181610524, 35.823236138965235], [-78.87238835077716, 35.82312001424886], [-78.8723814351194, 35.823014014033774], [-78.87236217906054, 35.82287122476433], [-78.87235532948806, 35.822723401922104], [-78.8723457329022, 35.82260513806927], [-78.87224308331508, 35.82256393340701], [-78.87214052140533, 35.822519839080364], [-78.87201216484316, 35.822469231601936], [-78.8718856678118, 35.82241646274576], [-78.87175917670267, 35.82235936647007], [-78.87113714873101, 35.82209624625419], [-78.87092132019293, 35.82200660667629], [-78.87072487768017, 35.82192419883109], [-78.87052312116597, 35.821842506087464], [-78.87039755007928, 35.82179117878819], [-78.87033470243703, 35.82175217350902], [-78.87028611726886, 35.8217066973912], [-78.87022685051504, 35.82164318053888], [-78.87019421453111, 35.821590509805525], [-78.87012181051367, 35.82146352603878], [-78.87006982217612, 35.82133151923218], [-78.87003002651615, 35.821273792456054], [-78.86995843098536, 35.82122108010392], [-78.86982664146161, 35.82115748565078], [-78.86972220693153, 35.821126368249736], [-78.86970205528503, 35.82096771676408], [-78.86968275330622, 35.820856654711335], [-78.86959698360354, 35.82080897083854], [-78.86953855120484, 35.82080385994871], [-78.86937482527657, 35.82077772713125], [-78.86921108306292, 35.82076241096388], [-78.86883223425431, 35.820683410396065], [-78.8684197887314, 35.82062600255582], [-78.86819764076735, 35.82058898728327], [-78.86812505848941, 35.82057376459071], [-78.86806663576097, 35.82056288808373], [-78.8679816493856, 35.82055270024072], [-78.86791078485459, 35.820569927243156], [-78.86775745987734, 35.820681527993266]]}";0.0;Greenway;Asphalt;;NA;West;;;;;;;;;;35.8250037199, -78.8723160466
