year_month,month_of_release,passenger_type,direction,sex,age,estimate,standard_error,status
2018-08,2019-12,Long-term migrant,Arrivals,Female,0-4 years,406,0,Final
2018-09,2019-12,Long-term migrant,Arrivals,Female,0-4 years,382,0,Provisional
2018-10,2019-12,Long-term migrant,Arrivals,Female,0-4 years,391,1,Provisional
2018-11,2019-12,Long-term migrant,Arrivals,Female,0-4 years,379,2,Provisional
2018-12,2019-12,Long-term migrant,Arrivals,Female,0-4 years,495,5,Provisional
2019-01,2019-12,Long-term migrant,Arrivals,Female,0-4 years,393,7,Provisional
2019-02,2019-12,Long-term migrant,Arrivals,Female,0-4 years,365,10,Provisional
2019-03,2019-12,Long-term migrant,Arrivals,Female,0-4 years,364,10,Provisional
2019-04,2019-12,Long-term migrant,Arrivals,Female,0-4 years,280,11,Provisional
2019-05,2019-12,Long-term migrant,Arrivals,Female,0-4 years,312,11,Provisional
2019-06,2019-12,Long-term migrant,Arrivals,Female,0-4 years,325,11,Provisional
2019-07,2019-12,Long-term migrant,Arrivals,Female,0-4 years,349,13,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,0-4 years,405,13,Provisional
2019-09,2019-12,Long-term migrant,Arrivals,Female,0-4 years,381,21,Provisional
2019-10,2019-12,Long-term migrant,Arrivals,Female,0-4 years,360,23,Provisional
2019-11,2019-12,Long-term migrant,Arrivals,Female,0-4 years,395,37,Provisional
2019-12,2019-12,Long-term migrant,Arrivals,Female,0-4 years,580,59,Provisional
2018-08,2019-12,Long-term migrant,Arrivals,Male,0-4 years,445,0,Final
2018-09,2019-12,Long-term migrant,Arrivals,Male,0-4 years,422,0,Provisional
2018-10,2019-12,Long-term migrant,Arrivals,Male,0-4 years,406,1,Provisional
2018-11,2019-12,Long-term migrant,Arrivals,Male,0-4 years,392,2,Provisional
2018-12,2019-12,Long-term migrant,Arrivals,Male,0-4 years,495,4,Provisional
2019-01,2019-12,Long-term migrant,Arrivals,Male,0-4 years,469,7,Provisional
2019-02,2019-12,Long-term migrant,Arrivals,Male,0-4 years,377,9,Provisional
2019-03,2019-12,Long-term migrant,Arrivals,Male,0-4 years,385,11,Provisional
2019-04,2019-12,Long-term migrant,Arrivals,Male,0-4 years,299,12,Provisional
2019-05,2019-12,Long-term migrant,Arrivals,Male,0-4 years,326,12,Provisional
2019-06,2019-12,Long-term migrant,Arrivals,Male,0-4 years,368,12,Provisional
2019-07,2019-12,Long-term migrant,Arrivals,Male,0-4 years,394,15,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,0-4 years,455,15,Provisional
2019-09,2019-12,Long-term migrant,Arrivals,Male,0-4 years,449,22,Provisional
2019-10,2019-12,Long-term migrant,Arrivals,Male,0-4 years,422,25,Provisional
2019-11,2019-12,Long-term migrant,Arrivals,Male,0-4 years,428,45,Provisional
2019-12,2019-12,Long-term migrant,Arrivals,Male,0-4 years,586,60,Provisional
