ID,Name,StationCode1,StationCode2,Description,Lat,Lon
220,SOUTH ELEVATOR ENTRANCE  (SOUTH OF N FAIRFAX DR & N STUARD ST),K04,,Entrance elevators located at the southwest corner of N Fairfax Dr and N Stuart St.,38.882054,-77.112097
219,NORTH ELEVATOR ENTRANCE  (NORTH OF N FAIRFAX DR & N STUARD ST),K04,,Entrance elevators located at the northwest corner of N Fairfax Dr and N Stuart St.,38.882368,-77.112131
221,MAIN ENTRANCE (N FAIRFAX DR & N STUARD ST),K04,,Canopied escalator entrance at southeast corner of N Fairfax Dr and N Stuart St.,38.881868,-77.111358
218,MAIN ENTRANCE (NORTHEWEST CORNER OF N MONROE ST AND N FAIRFAX DR),K03,,Station entrance from the southwest corner of  North Monroe St and  N.Fairfax Dr.,38.88283,-77.103278
217,ELEVATOR ENTRANCE (NORTH OF THE MAIN ENTRANCE ON N MONROE ST),K03,,Street level elevator just north of escalator located west of North Monroe St.,38.883017,-77.103295
214,"ELEVATOR ENTRANCE (CLARENDON CENTRAL PARK, BETWEEN WILSON BLVD & CLARENDON BLVD)",K02,,"Elevator entrance from Clarendon Central Park, between Wilson Blvd and Clarendon Blvd.",38.886756,-77.09567
216,BUILDING ENTRANCE (GOVERNMENT BUILDING),K02,,Government building entrance to intermediate passageway (only open during building hours).,38.887002,-77.095287
215,MAIN ENTRANCE (WILSON BLVD & N HIGHLAND ST),K02,,Canopied escalator and stairway entrance at southwest corner of Wilson Blvd and Highland St.,38.88718,-77.0951
222,MAIN ENTRANCE (N SYCAMORE ST & I66),K05,,Street level station entrance located under I-66 is accessible by the walkway from bus bay and parking lot located at the north side and from kiss&ride area located at the south of the side station.,38.885893,-77.156571
212,WEST ELEVATOR ENTRANCE (CLARENDON BLVD & 15TH ST N),K01,,Elevator entrance at Clarendon Blvd and 15th St N.,38.890462,-77.086071
209,"SOUTH ENTRANCE (PLAZA EXIT, AMC COURTHOUSE PLAZA, 15TH ST N)",K01,,Canopied entrance next to AMC Theaters.,38.890315,-77.085112
211,SOUTH ELEVATOR ENTRANCE (SW OF 15TH ST N & N UHLE ST),K01,,Elevator to tunnel located next to parking space located on 15th St N.,38.890603,-77.084938
213,"NORTH ENTRANCE (SW OF CLARENDON BLVD & N UHLE ST, STRYER UNIVERSITY EXIT)",K01,,Escalator entrance at Strayer University building entrance at Clarendon Blvd and  N Uhie St intersection.,38.891183,-77.085011
210,"NORTH ELEVATOR ENTRANCE (NW OF CLARENDON BLVD & N UHLE ST, COLONIAL VILLAGE EXIT)",K01,,Street level elevator located at the northwest corner of Wilson Blvd and N.Uhle St(Colonial Village Building).,38.891731,-77.085063
93,"WEST ENTRANCE (FT. MAYER DR EXIT, BUILDING ENTRANCE FROM N FT. MAYER DR BETWEEN N NASH ST AND WILSON BLVD)",C05,,Building entrance from N. Fort Myer Dr segment between N. Nash St and Wilson Blvd is accessible by N. Fort Myer Dr sidewalks.,38.895807,-77.072105
92,"EAST ENTRANCE (N MOORE ST EXIT, WEST N MOORE ST, BETWEEN 19TH ST & WILSON BLVD)",C05,,Station main entrance is accessible from bus bay area located on N.Moore St segment between 19th St.N and Wilson Blvd.,38.895949,-77.071707
91,EAST ELEVATOR STREET ENTRANCE (BETWEEN N MOORE ST & N LYNN ST),C05,,"Street level high-speed elevator entrance, accessible from N. Lynn St and N.Moore St sidewalks.",38.895987,-77.071402
96,NORTH ENTRANCE (NORTH OF MEMORIAL DR & JEFFERSON HWY),C06,,Escalator entrance from the west side of Memorial Dr where it crosses over Jefferson Davis Hwy.,38.884511,-77.063761
97,SOUTH ENTRANCE (SOUTH OF MEMORIAL DR & JEFFERSON HWY),C06,,Escalator entrance from the east side of Memorial Dr where it crosses over Jefferson Davis Hwy.,38.884168,-77.063556
95,WEST ELEVATOR ENTRANCE (MEMORIAL DR & JEFFERSON HWY),C06,,Elevator entrance from Memorial Dr (between Jefferson Davis Hwy and rail tracks).,38.884719,-77.063338
94,EAST ELEVATOR ENTRANCE (MEMORIAL DR & GW PKWY),C06,,Elevator entrance from Memorial Dr (between rail tracks and GW Pkwy).,38.884817,-77.063075
103,"WEST ENTRANCE (W SIDE HAYES EXIT, BETWEEN SERVICE RD & HAYES STs)",C08,,"Canopied entrance between S.Hayes St and service road to the stores(Nordstrom, Macy's).",38.862615,-77.059909
102,"EAST ENTRANCE (E SIDE HAYES EXIT, SE CORNER OF 12th & HAYES STs)",C08,,Canopied entrance in front of Pentagon Center(Borders Store) building located southeast corner of Hayes St and 12th St.,38.862548,-77.059105
101,EAST ELEVATOR ENTRANCE (SE CORNER OF 12th & HAYES STs),C08,,Street level elevator located at the southeast corner of Hayes St and 12th St next to escalator.,38.86281,-77.058954
224,"SOUTH ENTRANCE (MAIN EXIT, NORTH SIDE OF HAYCOCK RD)",K06,,"Pedestrian bridge to station from south side is accessible from bus bay, kiss&ride, parking garage located north of Haycock Rd.",38.900319,-77.188878
223,"NORTH ENTRANCE (NORTH BUS BAY, NORTH SIDE OF I66 ACCESS FROM WEST FALLS CHURCH METRO DRIVEWAY)",K06,,Station entrance from north side is accessible from bus bay located off Rt.267.,38.9011,-77.188973
100,"SOUTH ENTRANCE (SW OF S EADS ST, NE OF N ROTARY RD)",C07,,Station entrance at the south side of bus bay accessible from the bus bay area sidewalks.,38.869037,-77.054509
98,ELEVATOR ENTRANCE (NE OF S EADS ST),C07,,Steet level elevator to station is accessible from bus bay area sidewalks.,38.869591,-77.053838
99,EAST ENTRANCE (NE OF S EADS ST),C07,,Station entrance at the north side of bus bay accessible from the bus bay area sidewalks.,38.869773,-77.05352
89,ELEVATOR ENTRANCE (23RD & I STs),C04,,"Station entrance form street level elevator facing I St NW, adjacent to station escalator  (south end of George Washington University Hospital building).",38.900824,-77.050856
105,MAIN ENTRANCE (CLARK & 18th STs),C09,,Canopied entrance is accessible from the sidewalks from 18th St South.,38.858038,-77.051472
90,MAIN ENTRANCE (23RD & I STs),C04,,Station entrance from the northwest corner of 23rd St NW and I St NW (south end of George Washington University Hospital building).,38.900866,-77.050371
106,CRYSTAL CITY SHOP ENTRANCE  (NORTH ),C09,,Entrance from north side intermediate passageway to mezzanine,38.858059,-77.051158
107,CRYSTAL CITY SHOP ENTRANCE (SOUTH),C09,,Entrance from south side intermediate passageway to mezzanine,38.857982,-77.051164
104,WEST ELEVATOR ENTRANCE (WEST OF 18th & CRYSTAL DR),C09,,Entrance elevator located at the right side of 18th St South segment between S. Bell St and Crystal Dr.,38.857962,-77.050786
109,"NORTH ENTRANCE (NORTH EXIT, TO PARKING GARAGE C AND TERMINAL C)",C10,,Pedestrian bridge to station north entrance is accessible from parking garage - C and airport terminal -C,38.85463,-77.044507
88,WEST ENTRANCE 2(BUIDLING INTERIOR),C03,,Station entrance escalator is located in the building (International Square) food court,38.90149,-77.042054
87,WEST ENTRANCE (WEST OF 17th & I STs),C03,,"Station entrance escalator is located in the building courtyard, at the northwest corner of 18 St NW and I St NW.",38.901622,-77.041965
85,WEST ELEVATOR ENTRANCE (WEST OF 17th & I STs),C03,,Entrance elevator is located at the northwest corner of 18th St NW and I St NW.,38.901502,-77.041888
108,ELEVATOR ENTRANCE FROM STREET BELOW THE TRACKS,C10,,Street level elevator to station platform,38.853463,-77.044086
110,SOUTH ENTRANCE (SOUTH EXIT TO TERMINAL B AND PARKING GARAGE B),C10,,Pedestrian bridge to station south entrance is accessible from parking garage-B and airport terminal-B,38.85234,-77.043571
11,SOUTH ENTRANCE (19th ST & CONNECTICUT AVE),A03,,Canopied entrance from 19th St NW and is also accessible from Connecticut Ave NW.,38.908648,-77.043322
10,NORTH ENTRANCE (Q & 20th & CONNECTICUT),A03,,North side station entrance is located at the southeast corner of  20th NW and Q St NW and accessible from Connecticut Ave NW.,38.911001,-77.044746
9,NORTH ELEVATOR ENTRANCE (Q ST & CONNECTICUT AVE),A03,,"Street level elevator at north side of the station is accessible from Connecticut Ave NW, 20th NW and Q St NW.",38.910792,-77.044553
