Year,Institutional_sector_name,Institutional_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Status,Value
2008.03,Corporate business enterprises,141,Capital Account Opening balances Produced non-financial assets,LS00000,AN10000,FINAL,224986
2008.03,Corporate business enterprises,141,Capital Account Opening balances Non-produced non-financial assets,LS00000,AN20000,FINAL,135478
2008.03,Corporate business enterprises,141,Capital Account Opening balances Total non-financial assets,LS00000,AN00000,FINAL,360464
2008.03,Corporate business enterprises,141,Capital Account Net transactions in produced non-financial assets Gross fixed capital formation,P051G00,AN10000,FINAL,19922
2008.03,Corporate business enterprises,141,Capital Account Net transactions in produced non-financial assets Consumption of fixed capital,P051C00,AN10000,FINAL,-14407
2008.03,Corporate business enterprises,141,Capital Account Net transactions in produced non-financial assets Change in inventories,P052000,AN10000,FINAL,1434
2008.03,Corporate business enterprises,141,Capital Account Total net transactions in produced non-financial assets,P051000,AN10000,FINAL,6949
2008.03,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,FINAL,-363
2008.03,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,FINAL,-8
2008.03,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,FINAL,-371
2008.03,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,FINAL,-1451
2008.03,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-267
2008.03,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,FINAL,-630
2008.03,Corporate business enterprises,141,Capital Account Net lending (+) / net borrowing (-) ISA,B09C000,ISA,FINAL,-8924
2008.03,Corporate business enterprises,141,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,FINAL,242545
2008.03,Corporate business enterprises,141,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,FINAL,143787
2008.03,Corporate business enterprises,141,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,FINAL,386332
2008.03,Corporate business enterprises,141,Financial assets Opening balance monetary gold and special drawing rights,LS00000,AFA0100,FINAL,0
2008.03,Corporate business enterprises,141,Financial assets Opening balance currency and deposits,LS00000,AFA0200,FINAL,22898
2008.03,Corporate business enterprises,141,Financial assets Opening balance debt securities,LS00000,AFA0300,FINAL,1867
2008.03,Corporate business enterprises,141,Financial assets Opening balance loans,LS00000,AFA0400,FINAL,68414
2008.03,Corporate business enterprises,141,Financial assets Opening balance equity and investment fund shares,LS00000,AFA0500,FINAL,74164
2008.03,Corporate business enterprises,141,"Financial assets Opening balance insurance, pension, and standardised guarantee schemes",LS00000,AFA0600,FINAL,1030
2008.03,Corporate business enterprises,141,Financial assets Opening balance financial derivatives,LS00000,AFA0700,FINAL,1762
2008.03,Corporate business enterprises,141,Financial assets Opening balance other accounts receivable,LS00000,AFA0800,FINAL,38400
2008.03,Corporate business enterprises,141,Financial assets Opening balance Total financial assets,LS00000,AFA0000,FINAL,208535
2008.03,Corporate business enterprises,141,Financial liabilities Opening balance monetary gold and special drawing rights,LS00000,AFL0100,FINAL,0
2008.03,Corporate business enterprises,141,Financial liabilities Opening balance currency and deposits,LS00000,AFL0200,FINAL,0
2008.03,Corporate business enterprises,141,Financial liabilities Opening balance debt securities,LS00000,AFL0300,FINAL,9957
2008.03,Corporate business enterprises,141,Financial liabilities Opening balance loans,LS00000,AFL0400,FINAL,215712
2008.03,Corporate business enterprises,141,Financial liabilities Opening balance equity and investment fund shares,LS00000,AFL0500,FINAL,320528
2008.03,Corporate business enterprises,141,"Financial liabilities Opening balance insurance, pension, and standardised guarantee schemes",LS00000,AFL0600,FINAL,19
2008.03,Corporate business enterprises,141,Financial liabilities Opening balance financial derivatives,LS00000,AFL0700,FINAL,2876
2008.03,Corporate business enterprises,141,Financial liabilities Opening balance other accounts payable,LS00000,AFL0800,FINAL,32630
2008.03,Corporate business enterprises,141,Financial liabilities Opening balance Total financial liabilities,LS00000,AFL0000,FINAL,581722
2008.03,Corporate business enterprises,141,Financial assets Net transactions in monetary gold and special drawing rights,F000000,AFA0100,FINAL,0
2008.03,Corporate business enterprises,141,Financial assets Net transactions in currency and deposits,F000000,AFA0200,FINAL,3570
2008.03,Corporate business enterprises,141,Financial assets Net transactions in debt securities,F000000,AFA0300,FINAL,52
2008.03,Corporate business enterprises,141,Financial assets Net transactions in loans,F000000,AFA0400,FINAL,5753
2008.03,Corporate business enterprises,141,Financial assets Net transactions in equity and investment fund shares,F000000,AFA0500,FINAL,-1264
2008.03,Corporate business enterprises,141,"Financial assets Net transactions in insurance, pension, and standardised guarantee schemes",F000000,AFA0600,FINAL,-390
2008.03,Corporate business enterprises,141,Financial assets Net transactions in financial derivatives,F000000,AFA0700,FINAL,0
2008.03,Corporate business enterprises,141,Financial assets Net transactions in other accounts receivable,F000000,AFA0800,FINAL,6371
2008.03,Corporate business enterprises,141,Financial assets Net transactions in financial assets,F000000,AFA0000,FINAL,14092
2008.03,Corporate business enterprises,141,Financial liabilities Net transactions in monetary gold and special drawing rights,F000000,AFL0100,FINAL,0
2008.03,Corporate business enterprises,141,Financial liabilities Net transactions in currency and deposits,F000000,AFL0200,FINAL,0
2008.03,Corporate business enterprises,141,Financial liabilities Net transactions in debt securities,F000000,AFL0300,FINAL,993
2008.03,Corporate business enterprises,141,Financial liabilities Net transactions in loans,F000000,AFL0400,FINAL,979
2008.03,Corporate business enterprises,141,Financial liabilities Net transactions in equity and investment fund shares,F000000,AFL0500,FINAL,28088
2008.03,Corporate business enterprises,141,"Financial liabilities Net transactions in insurance, pension, and standardised guarantee schemes",F000000,AFL0600,FINAL,-19
2008.03,Corporate business enterprises,141,Financial liabilities Net transactions in financial derivatives,F000000,AFL0700,FINAL,0
2008.03,Corporate business enterprises,141,Financial liabilities Net transactions in other accounts payable,F000000,AFL0800,FINAL,6201
2008.03,Corporate business enterprises,141,Financial liabilities Net transactions in financial liabilities,F000000,AFL0000,FINAL,36242
2008.03,Corporate business enterprises,141,Financial liabilities Net lending (+) / net borrowing (-) financial account,B09F000,AF00000,FINAL,-22150
