year_month,direction_code,NZ_area,Count,geo_level,period
2014-06,A,Area Outside Region,6,Regional council areas,Monthly
2014-07,A,Area Outside Region,15,Regional council areas,Monthly
2014-08,A,Area Outside Region,9,Regional council areas,Monthly
2014-09,A,Area Outside Region,15,Regional council areas,Monthly
2014-10,A,Area Outside Region,3,Regional council areas,Monthly
2014-11,A,Area Outside Region,3,Regional council areas,Monthly
2014-12,A,Area Outside Region,6,Regional council areas,Monthly
2015-02,A,Area Outside Region,3,Regional council areas,Monthly
2015-03,A,Area Outside Region,6,Regional council areas,Monthly
2015-04,A,Area Outside Region,3,Regional council areas,Monthly
2015-05,A,Area Outside Region,9,Regional council areas,Monthly
2015-06,A,Area Outside Region,3,Regional council areas,Monthly
2015-07,A,Area Outside Region,3,Regional council areas,Monthly
2015-09,A,Area Outside Region,9,Regional council areas,Monthly
2015-10,A,Area Outside Region,6,Regional council areas,Monthly
2015-11,A,Area Outside Region,3,Regional council areas,Monthly
2016-01,A,Area Outside Region,3,Regional council areas,Monthly
2016-02,A,Area Outside Region,3,Regional council areas,Monthly
2016-03,A,Area Outside Region,9,Regional council areas,Monthly
2016-04,A,Area Outside Region,9,Regional council areas,Monthly
2016-05,A,Area Outside Region,3,Regional council areas,Monthly
2016-06,A,Area Outside Region,9,Regional council areas,Monthly
2016-07,A,Area Outside Region,3,Regional council areas,Monthly
2016-08,A,Area Outside Region,6,Regional council areas,Monthly
2016-09,A,Area Outside Region,30,Regional council areas,Monthly
2016-10,A,Area Outside Region,6,Regional council areas,Monthly
2016-11,A,Area Outside Region,3,Regional council areas,Monthly
2017-03,A,Area Outside Region,3,Regional council areas,Monthly
2017-04,A,Area Outside Region,3,Regional council areas,Monthly
2017-05,A,Area Outside Region,3,Regional council areas,Monthly
2017-06,A,Area Outside Region,3,Regional council areas,Monthly
2017-07,A,Area Outside Region,18,Regional council areas,Monthly
2017-08,A,Area Outside Region,6,Regional council areas,Monthly
2017-09,A,Area Outside Region,3,Regional council areas,Monthly
2017-10,A,Area Outside Region,6,Regional council areas,Monthly
2017-11,A,Area Outside Region,12,Regional council areas,Monthly
2017-12,A,Area Outside Region,6,Regional council areas,Monthly
2018-01,A,Area Outside Region,6,Regional council areas,Monthly
2018-03,A,Area Outside Region,3,Regional council areas,Monthly
2018-04,A,Area Outside Region,12,Regional council areas,Monthly
2018-05,A,Area Outside Region,6,Regional council areas,Monthly
2018-07,A,Area Outside Region,6,Regional council areas,Monthly
2018-08,A,Area Outside Region,9,Regional council areas,Monthly
2018-09,A,Area Outside Region,6,Regional council areas,Monthly
2018-10,A,Area Outside Region,9,Regional council areas,Monthly
2018-11,A,Area Outside Region,9,Regional council areas,Monthly
2018-12,A,Area Outside Region,12,Regional council areas,Monthly
2019-01,A,Area Outside Region,3,Regional council areas,Monthly
2019-02,A,Area Outside Region,3,Regional council areas,Monthly
2019-03,A,Area Outside Region,3,Regional council areas,Monthly
2019-04,A,Area Outside Region,3,Regional council areas,Monthly
2019-05,A,Area Outside Region,9,Regional council areas,Monthly
2019-06,A,Area Outside Region,12,Regional council areas,Monthly
2014-06,A,Auckland Region,76017,Regional council areas,Monthly
2014-07,A,Auckland Region,102774,Regional council areas,Monthly
2014-08,A,Auckland Region,86814,Regional council areas,Monthly
2014-09,A,Auckland Region,86571,Regional council areas,Monthly
2014-10,A,Auckland Region,106812,Regional council areas,Monthly
2014-11,A,Auckland Region,77046,Regional council areas,Monthly
2014-12,A,Auckland Region,61950,Regional council areas,Monthly
2015-01,A,Auckland Region,120903,Regional council areas,Monthly
2015-02,A,Auckland Region,69654,Regional council areas,Monthly
2015-03,A,Auckland Region,72540,Regional council areas,Monthly
2015-04,A,Auckland Region,87678,Regional council areas,Monthly
2015-05,A,Auckland Region,79794,Regional council areas,Monthly
2015-06,A,Auckland Region,82233,Regional council areas,Monthly
2015-07,A,Auckland Region,111918,Regional council areas,Monthly
2015-08,A,Auckland Region,94470,Regional council areas,Monthly
2015-09,A,Auckland Region,90480,Regional council areas,Monthly
2015-10,A,Auckland Region,115560,Regional council areas,Monthly
2015-11,A,Auckland Region,83076,Regional council areas,Monthly
2015-12,A,Auckland Region,66417,Regional council areas,Monthly
2016-01,A,Auckland Region,128352,Regional council areas,Monthly
2016-02,A,Auckland Region,80217,Regional council areas,Monthly
2016-03,A,Auckland Region,76026,Regional council areas,Monthly
2016-04,A,Auckland Region,85695,Regional council areas,Monthly
2016-05,A,Auckland Region,93993,Regional council areas,Monthly
2016-06,A,Auckland Region,88842,Regional council areas,Monthly
2016-07,A,Auckland Region,122646,Regional council areas,Monthly
2016-08,A,Auckland Region,100815,Regional council areas,Monthly
2016-09,A,Auckland Region,101649,Regional council areas,Monthly
2016-10,A,Auckland Region,126087,Regional council areas,Monthly
2016-11,A,Auckland Region,89433,Regional council areas,Monthly
2016-12,A,Auckland Region,72669,Regional council areas,Monthly
2017-01,A,Auckland Region,143169,Regional council areas,Monthly
2017-02,A,Auckland Region,93063,Regional council areas,Monthly
2017-03,A,Auckland Region,79806,Regional council areas,Monthly
2017-04,A,Auckland Region,98778,Regional council areas,Monthly
2017-05,A,Auckland Region,94998,Regional council areas,Monthly
2017-06,A,Auckland Region,92439,Regional council areas,Monthly
2017-07,A,Auckland Region,133968,Regional council areas,Monthly
2017-08,A,Auckland Region,105600,Regional council areas,Monthly
2017-09,A,Auckland Region,108981,Regional council areas,Monthly
2017-10,A,Auckland Region,135984,Regional council areas,Monthly
2017-11,A,Auckland Region,93606,Regional council areas,Monthly
2017-12,A,Auckland Region,78054,Regional council areas,Monthly
2018-01,A,Auckland Region,159171,Regional council areas,Monthly
2018-02,A,Auckland Region,87750,Regional council areas,Monthly
2018-03,A,Auckland Region,82923,Regional council areas,Monthly
2018-04,A,Auckland Region,108447,Regional council areas,Monthly
2018-05,A,Auckland Region,99273,Regional council areas,Monthly
2018-06,A,Auckland Region,100695,Regional council areas,Monthly
2018-07,A,Auckland Region,147720,Regional council areas,Monthly
2018-08,A,Auckland Region,114837,Regional council areas,Monthly
2018-09,A,Auckland Region,117087,Regional council areas,Monthly
2018-10,A,Auckland Region,138984,Regional council areas,Monthly
2018-11,A,Auckland Region,96522,Regional council areas,Monthly
2018-12,A,Auckland Region,81039,Regional council areas,Monthly
2019-01,A,Auckland Region,160830,Regional council areas,Monthly
2019-02,A,Auckland Region,96177,Regional council areas,Monthly
2019-03,A,Auckland Region,89007,Regional council areas,Monthly
2019-04,A,Auckland Region,110073,Regional council areas,Monthly
2019-05,A,Auckland Region,102219,Regional council areas,Monthly
2019-06,A,Auckland Region,104058,Regional council areas,Monthly
2014-06,A,Bay of Plenty Region,9549,Regional council areas,Monthly
2014-07,A,Bay of Plenty Region,12012,Regional council areas,Monthly
2014-08,A,Bay of Plenty Region,11604,Regional council areas,Monthly
2014-09,A,Bay of Plenty Region,11169,Regional council areas,Monthly
2014-10,A,Bay of Plenty Region,13449,Regional council areas,Monthly
2014-11,A,Bay of Plenty Region,9216,Regional council areas,Monthly
2014-12,A,Bay of Plenty Region,6678,Regional council areas,Monthly
2015-01,A,Bay of Plenty Region,9555,Regional council areas,Monthly
2015-02,A,Bay of Plenty Region,5913,Regional council areas,Monthly
2015-03,A,Bay of Plenty Region,8175,Regional council areas,Monthly
2015-04,A,Bay of Plenty Region,9780,Regional council areas,Monthly
2015-05,A,Bay of Plenty Region,9723,Regional council areas,Monthly
2015-06,A,Bay of Plenty Region,10152,Regional council areas,Monthly
2015-07,A,Bay of Plenty Region,13323,Regional council areas,Monthly
2015-08,A,Bay of Plenty Region,12357,Regional council areas,Monthly
2015-09,A,Bay of Plenty Region,11907,Regional council areas,Monthly
2015-10,A,Bay of Plenty Region,14751,Regional council areas,Monthly
2015-11,A,Bay of Plenty Region,9675,Regional council areas,Monthly
2015-12,A,Bay of Plenty Region,7164,Regional council areas,Monthly
2016-01,A,Bay of Plenty Region,9912,Regional council areas,Monthly
2016-02,A,Bay of Plenty Region,6432,Regional council areas,Monthly
2016-03,A,Bay of Plenty Region,7923,Regional council areas,Monthly
2016-04,A,Bay of Plenty Region,9966,Regional council areas,Monthly
2016-05,A,Bay of Plenty Region,10845,Regional council areas,Monthly
2016-06,A,Bay of Plenty Region,11169,Regional council areas,Monthly
2016-07,A,Bay of Plenty Region,14655,Regional council areas,Monthly
2016-08,A,Bay of Plenty Region,13131,Regional council areas,Monthly
2016-09,A,Bay of Plenty Region,13119,Regional council areas,Monthly
2016-10,A,Bay of Plenty Region,15642,Regional council areas,Monthly
2016-11,A,Bay of Plenty Region,10845,Regional council areas,Monthly
2016-12,A,Bay of Plenty Region,7764,Regional council areas,Monthly
2017-01,A,Bay of Plenty Region,11691,Regional council areas,Monthly
2017-02,A,Bay of Plenty Region,7398,Regional council areas,Monthly
2017-03,A,Bay of Plenty Region,9072,Regional council areas,Monthly
2017-04,A,Bay of Plenty Region,11013,Regional council areas,Monthly
2017-05,A,Bay of Plenty Region,11403,Regional council areas,Monthly
2017-06,A,Bay of Plenty Region,11628,Regional council areas,Monthly
2017-07,A,Bay of Plenty Region,15603,Regional council areas,Monthly
2017-08,A,Bay of Plenty Region,13974,Regional council areas,Monthly
2017-09,A,Bay of Plenty Region,14466,Regional council areas,Monthly
2017-10,A,Bay of Plenty Region,17622,Regional council areas,Monthly
2017-11,A,Bay of Plenty Region,11253,Regional council areas,Monthly
2017-12,A,Bay of Plenty Region,8112,Regional council areas,Monthly
2018-01,A,Bay of Plenty Region,12027,Regional council areas,Monthly
2018-02,A,Bay of Plenty Region,7446,Regional council areas,Monthly
2018-03,A,Bay of Plenty Region,9351,Regional council areas,Monthly
2018-04,A,Bay of Plenty Region,11757,Regional council areas,Monthly
2018-05,A,Bay of Plenty Region,11577,Regional council areas,Monthly
2018-06,A,Bay of Plenty Region,12738,Regional council areas,Monthly
2018-07,A,Bay of Plenty Region,17142,Regional council areas,Monthly
2018-08,A,Bay of Plenty Region,15303,Regional council areas,Monthly
2018-09,A,Bay of Plenty Region,15477,Regional council areas,Monthly
2018-10,A,Bay of Plenty Region,17763,Regional council areas,Monthly
2018-11,A,Bay of Plenty Region,11604,Regional council areas,Monthly
2018-12,A,Bay of Plenty Region,8694,Regional council areas,Monthly
2019-01,A,Bay of Plenty Region,12591,Regional council areas,Monthly
2019-02,A,Bay of Plenty Region,8076,Regional council areas,Monthly
2019-03,A,Bay of Plenty Region,10074,Regional council areas,Monthly
2019-04,A,Bay of Plenty Region,12423,Regional council areas,Monthly
2019-05,A,Bay of Plenty Region,12006,Regional council areas,Monthly
2019-06,A,Bay of Plenty Region,13209,Regional council areas,Monthly
2014-06,A,Canterbury Region,23160,Regional council areas,Monthly
2014-07,A,Canterbury Region,30477,Regional council areas,Monthly
2014-08,A,Canterbury Region,28599,Regional council areas,Monthly
2014-09,A,Canterbury Region,25179,Regional council areas,Monthly
2014-10,A,Canterbury Region,30714,Regional council areas,Monthly
2014-11,A,Canterbury Region,21501,Regional council areas,Monthly
2014-12,A,Canterbury Region,14577,Regional council areas,Monthly
2015-01,A,Canterbury Region,28326,Regional council areas,Monthly
2015-02,A,Canterbury Region,15081,Regional council areas,Monthly
2015-03,A,Canterbury Region,18975,Regional council areas,Monthly
2015-04,A,Canterbury Region,23547,Regional council areas,Monthly
2015-05,A,Canterbury Region,22725,Regional council areas,Monthly
2015-06,A,Canterbury Region,24561,Regional council areas,Monthly
2015-07,A,Canterbury Region,32562,Regional council areas,Monthly
2015-08,A,Canterbury Region,29526,Regional council areas,Monthly
2015-09,A,Canterbury Region,26946,Regional council areas,Monthly
2015-10,A,Canterbury Region,31161,Regional council areas,Monthly
2015-11,A,Canterbury Region,22413,Regional council areas,Monthly
2015-12,A,Canterbury Region,15255,Regional council areas,Monthly
2016-01,A,Canterbury Region,29547,Regional council areas,Monthly
2016-02,A,Canterbury Region,16503,Regional council areas,Monthly
2016-03,A,Canterbury Region,18657,Regional council areas,Monthly
2016-04,A,Canterbury Region,22455,Regional council areas,Monthly
2016-05,A,Canterbury Region,24792,Regional council areas,Monthly
2016-06,A,Canterbury Region,25959,Regional council areas,Monthly
2016-07,A,Canterbury Region,34029,Regional council areas,Monthly
2016-08,A,Canterbury Region,30858,Regional council areas,Monthly
2016-09,A,Canterbury Region,28449,Regional council areas,Monthly
2016-10,A,Canterbury Region,33684,Regional council areas,Monthly
2016-11,A,Canterbury Region,22509,Regional council areas,Monthly
2016-12,A,Canterbury Region,16302,Regional council areas,Monthly
2017-01,A,Canterbury Region,31023,Regional council areas,Monthly
2017-02,A,Canterbury Region,19533,Regional council areas,Monthly
2017-03,A,Canterbury Region,21291,Regional council areas,Monthly
2017-04,A,Canterbury Region,25671,Regional council areas,Monthly
2017-05,A,Canterbury Region,26148,Regional council areas,Monthly
2017-06,A,Canterbury Region,27351,Regional council areas,Monthly
2017-07,A,Canterbury Region,36903,Regional council areas,Monthly
2017-08,A,Canterbury Region,31533,Regional council areas,Monthly
2017-09,A,Canterbury Region,30093,Regional council areas,Monthly
2017-10,A,Canterbury Region,36816,Regional council areas,Monthly
2017-11,A,Canterbury Region,23502,Regional council areas,Monthly
2017-12,A,Canterbury Region,17523,Regional council areas,Monthly
2018-01,A,Canterbury Region,34080,Regional council areas,Monthly
2018-02,A,Canterbury Region,18942,Regional council areas,Monthly
2018-03,A,Canterbury Region,21171,Regional council areas,Monthly
2018-04,A,Canterbury Region,26040,Regional council areas,Monthly
2018-05,A,Canterbury Region,27357,Regional council areas,Monthly
2018-06,A,Canterbury Region,29889,Regional council areas,Monthly
2018-07,A,Canterbury Region,40299,Regional council areas,Monthly
2018-08,A,Canterbury Region,35088,Regional council areas,Monthly
2018-09,A,Canterbury Region,31896,Regional council areas,Monthly
2018-10,A,Canterbury Region,36672,Regional council areas,Monthly
2018-11,A,Canterbury Region,24591,Regional council areas,Monthly
2018-12,A,Canterbury Region,17805,Regional council areas,Monthly
2019-01,A,Canterbury Region,33270,Regional council areas,Monthly
2019-02,A,Canterbury Region,20376,Regional council areas,Monthly
2019-03,A,Canterbury Region,22800,Regional council areas,Monthly
2019-04,A,Canterbury Region,28011,Regional council areas,Monthly
2019-05,A,Canterbury Region,27252,Regional council areas,Monthly
2019-06,A,Canterbury Region,30324,Regional council areas,Monthly
2014-06,A,Gisborne Region,1038,Regional council areas,Monthly
2014-07,A,Gisborne Region,1260,Regional council areas,Monthly
2014-08,A,Gisborne Region,1179,Regional council areas,Monthly
2014-09,A,Gisborne Region,1176,Regional council areas,Monthly
2014-10,A,Gisborne Region,1272,Regional council areas,Monthly
