Status,Boro,the_geom,ProjectNam,DateAdopte,ZR_ULURPno,ZR_Map,CD,MIH_Option,Zoning_Map,Project_ID,Shape_Leng,Shape_Area
Adopted,3,"MULTIPOLYGON (((-73.97005234444568 40.68021608113778, -73.97017549181562 40.67983434635126, -73.97051649766577 40.679899898031174, -73.9704843955876 40.679989074045395, -73.97048028363584 40.6800004951151, -73.9704485841527 40.68008850145331, -73.97042956952788 40.680208753059105, -73.97056179168794 40.68023498832945, -73.97070595850153 40.68026669531312, -73.97080802811523 40.68028821563118, -73.97067126466236 40.68066556930231, -73.97064050569844 40.680750440335274, -73.97046716871836 40.68071217274576, -73.97050034337458 40.68062983462438, -73.9706076097581 40.68033217454737, -73.97052764226538 40.680315454953934, -73.97017707781539 40.68024216001237, -73.97016048020537 40.68023868962947, -73.97005234444568 40.68021608113778)))",587 Bergen Street Rezoning,01/31/2018 12:00:00 AM +0000,170357ZRK,CD8-Map 2 (Area 1),8,Option 1,16c,P2014K0056,993.329168395,24549.4401554
Adopted,2,"MULTIPOLYGON (((-73.87733907236199 40.84399175528513, -73.877351772584 40.8439708881465, -73.8773517611812 40.84397064139912, -73.87762344958709 40.84351856793571, -73.87772902711957 40.84334563384825, -73.8779400935295 40.84300194807258, -73.87804020919712 40.84283925552479, -73.87813794913819 40.84267989130225, -73.87817148283985 40.842625213629056, -73.87817136551945 40.84262517568438, -73.87817581476835 40.842617890887155, -73.87817547007083 40.84261769601648, -73.87816613618351 40.84261555018691, -73.87807988518381 40.84259571212628, -73.87805381753978 40.842587316282135, -73.87794550271407 40.84256456150617, -73.87793572748427 40.84256255566801, -73.87713226422514 40.842377756054894, -73.87716561366557 40.842287736795676, -73.87716589968285 40.84228695817318, -73.87728273302902 40.84195445363473, -73.87740850908726 40.84174041482947, -73.87775703406625 40.84136704645081, -73.87783956456003 40.84139160030703, -73.87795609842833 40.841173109862225, -73.87806311421524 40.84097246062277, -73.87829021263178 40.84054664615937, -73.87832813169761 40.84055712018948, -73.8783737481267 40.84056972028597, -73.87841611142028 40.84058142094365, -73.87863094906132 40.84019032041345, -73.87872114190597 40.84002612734348, -73.87876063647238 40.84003013734164, -73.87886424468148 40.84004065501196, -73.87902287388472 40.84005675754406, -73.87975304885616 40.84013087622832, -73.87987523761268 40.84014327908335, -73.88000656775738 40.840156608922655, -73.87999208596995 40.84033578316445, -73.87995482088759 40.840372181976086, -73.87917471737052 40.84115396782691, -73.8788642134569 40.84150146061445, -73.87884499384111 40.84152296943538, -73.87925956745332 40.8417364213676, -73.87925985736484 40.84173609569227, -73.87991688256812 40.842073622083745, -73.88012703324084 40.842181579348235, -73.88056964312173 40.842409958842914, -73.8804996604523 40.84248765749858, -73.8802754931093 40.842736537608616, -73.88033814087697 40.842771093324764, -73.88039898222459 40.84280465028699, -73.88004315313813 40.84318327603453, -73.88000016538179 40.843159740144706, -73.87988870759389 40.84327833710668, -73.8797066478885 40.843482659376825, -73.87927289405995 40.84323588069812, -73.87862363841587 40.84395810834476, -73.8785592824005 40.8440277523105, -73.87850624889504 40.84399891579203, -73.87843118242466 40.844071981085584, -73.87832144688014 40.8439947606268, -73.8782803686767 40.84397232111369, -73.87806107391607 40.844208007081676, -73.87810215100536 40.84423044667069, -73.87820547598076 40.844291667802814, -73.87800756867053 40.84448429663329, -73.87779111860344 40.8443248197553, -73.87771064757781 40.844265529728375, -73.87741004921516 40.84404405125753, -73.87733907236199 40.84399175528513), (-73.87858589442124 40.84192691426492, -73.87883519107534 40.841517922676275, -73.8787616413641 40.84148005346544, -73.87874686354651 40.84147550574585, -73.87871941615747 40.84146705817201, -73.87829644091735 40.84133688480275, -73.87826959446953 40.84132862235685, -73.87809653019933 40.841275359967696, -73.87806118859793 40.84135541794133, -73.87801630619433 40.841441462202326, -73.87801508177196 40.84144380849486, -73.87800682166068 40.84146013201646, -73.87792360885967 40.84161799330282, -73.87787130051318 40.84171722458054, -73.87791541704189 40.841730178961996, -73.87810936832147 40.84178713230362, -73.87811129510811 40.841783918676335, -73.87847103076231 40.84189230618888, -73.87858589442124 40.84192691426492)))",Lambert Houses Redevelopment Master Plan,11/29/2016 12:00:00 AM +0000,160288ZRX,CD6-Map 6 (Area 1),6,Option 1 and Deep Affordability Option,3d,P2013X0120,5811.11178553,701206.559305
Adopted,3,"MULTIPOLYGON (((-73.95933827017245 40.65297573097196, -73.95988328033678 40.652764980679585, -73.95993882938764 40.65284622130123, -73.96014690740228 40.65315052705754, -73.96001804872097 40.65320163622032, -73.96007879491899 40.65351205121579, -73.95959757777999 40.65356667335406, -73.9594534187082 40.6535830363522, -73.95933827017245 40.65297573097196)))",Caton Flats,04/25/2017 12:00:00 AM +0000,170129ZRK,CD14-Map 2 (Area 1),14,Option 2,16d,P2015K0157,881.625234443,46239.3384342
Adopted,2,"MULTIPOLYGON (((-73.88165685047498 40.84035726369301, -73.88122145798135 40.84014176917514, -73.88106359680116 40.8403257278144, -73.88099416013402 40.84040664302199, -73.88038067521522 40.84009905612061, -73.8814623736171 40.83969290370525, -73.8814624021315 40.839692871316764, -73.88170015404387 40.8396464130865, -73.88194251211868 40.83961262272949, -73.88218771632712 40.83959182799989, -73.88243391683139 40.83958419088404, -73.882643468086 40.839588868936985, -73.88267930798536 40.83958969423033, -73.88177987987301 40.84041815609242, -73.88165685047498 40.84035726369301)))",1932 Bryant Avenue,11/29/2016 12:00:00 AM +0000,160366ZRX,CD6-Map 7 (Area 2),6,Option 1 and Option 2,3d,P2014X0534,1568.62270231,96628.5701989
Adopted,1,"MULTIPOLYGON (((-73.94532414747125 40.79355245356398, -73.94578426434951 40.7929214472165, -73.94686560299857 40.793373732686646, -73.94726637793839 40.79354135846446, -73.9473970719839 40.79359602091767, -73.94694779000847 40.79423410124196, -73.94680699388213 40.79417499235682, -73.94640477526762 40.79400613334454, -73.94532414747125 40.79355245356398)))",Lexington Gardens II,11/29/2016 12:00:00 AM +0000,160337ZRM,CD11-Map 1 (Area 1),11,Option 1,6b,P2014M0548,1549.84929208,134693.557831
Adopted,2,"MULTIPOLYGON (((-73.92342007447552 40.82303891847354, -73.92437637988954 40.82140956132477, -73.9244206734353 40.82133163529401, -73.92461383994255 40.82100496168957, -73.92531305234097 40.82114849207252, -73.92511218901349 40.82156963381314, -73.92492305712595 40.821966748569075, -73.92491350467397 40.8219862011736, -73.9248289039225 40.822162258811225, -73.92479347463893 40.8221520943205, -73.92448998397217 40.82204886389982, -73.92430643532194 40.822360205404124, -73.92412096563991 40.82267480063112, -73.92382507159141 40.8231766933844, -73.92379730358547 40.82316723423629, -73.92379649899459 40.823166971660136, -73.92342007447552 40.82303891847354)))",Concourse Village West Rezoning,11/16/2016 12:00:00 AM +0000,150313ZRX,CD4-Map 1 (Area 1),4,Option 1,6a,P2013X0135,2080.31164731,135657.186539
Adopted,3,"MULTIPOLYGON (((-73.98302039065658 40.69303524247276, -73.98253892503476 40.692054609975855, -73.98254529701607 40.69205485858361, -73.98340105832283 40.6920882438421, -73.98336941801595 40.692700564682205, -73.98335145714046 40.69304815737019, -73.98302039065658 40.69303524247276)))",141 Willoughby Street,11/16/2016 12:00:00 AM +0000,160029ZRK,CD2-Map 5 (Area 1),2,Option 2,16c,P2014K0195,1062.72510143,57976.7298539
Adopted,4,"MULTIPOLYGON (((-73.82954410025279 40.58149250204608, -73.83055834517008 40.58121042413082, -73.83076902126743 40.58160775384331, -73.82976206999527 40.58189793564486, -73.82954410025279 40.58149250204608)))",Rockaway Beach Boulevard Rezoning,10/13/2016 12:00:00 AM +0000,160220ZRQ,CD14-Map 1 (Area 1),14,Option 2,30b,P2015Q0366,914.681549895,47256.2361176
Adopted,2,"MULTIPOLYGON (((-73.90406501907856 40.81021123996432, -73.90439474363417 40.80999336726355, -73.90452017599036 40.81001926958639, -73.90548257334764 40.81021800111916, -73.90617083513628 40.81036011803382, -73.90664354688316 40.810457724968785, -73.9062419206385 40.810728883935695, -73.90583757205236 40.81099769887625, -73.9057698268015 40.81104188679871, -73.90540714558854 40.81127840458599, -73.90533005175645 40.811328680949785, -73.90467778143291 40.810759140363444, -73.90454050154383 40.81073168495354, -73.90355652760583 40.81053489781964, -73.90355655488985 40.810534880732995, -73.903624154824 40.810491852926326, -73.90406501907856 40.81021123996432)))",147th Street Rezoning,10/27/2016 12:00:00 AM +0000,160250ZRX,CD1-Map 3 (Area 2),1,Option 1 and Deep Affordability Option,6c,P2013X0135,2028.31927626,186929.474577
Adopted,2,"MULTIPOLYGON (((-73.91576642216457 40.81570684279524, -73.91633742374715 40.81595360037141, -73.91595161483247 40.81623847663965, -73.91576506201831 40.81637690090753, -73.9157231094085 40.81640731155862, -73.91571834735572 40.81641071555913, -73.91559367491067 40.81649981140267, -73.91553208494142 40.81654370425824, -73.91546529186476 40.81660128082305, -73.91531981679454 40.81672674840368, -73.91514759408264 40.81687524344148, -73.91485283695687 40.817129280609194, -73.91426282600018 40.817636759760966, -73.9141294825638 40.81775138565409, -73.91383326350886 40.81800616560781, -73.91382300620432 40.81801499812094, -73.91381277502295 40.81802379283179, -73.91364484634038 40.81816831311383, -73.91360797964859 40.81820006583578, -73.91359447205176 40.81821170454294, -73.91358093599199 40.81822335133172, -73.91353425556377 40.81826363158424, -73.91335747635067 40.818416116004535, -73.912901198391 40.8187981529442, -73.9128492562507 40.81883964461224, -73.91258464627647 40.81905109348799, -73.91339325229936 40.81766520854275, -73.91424483229571 40.81617844889126, -73.91438028057848 40.816139693996305, -73.91451213391942 40.81609434373634, -73.91463983614511 40.81604258951761, -73.9150740776138 40.81587746361967, -73.91518537069952 40.81583633338199, -73.91529955072662 40.815800058837915, -73.91541353974796 40.81576942025317, -73.91552958608617 40.81574362053429, -73.91564733407964 40.81572274045987, -73.91576642216457 40.81570684279524)))",La Central,09/14/2016 12:00:00 AM +0000,160269ZRX,CD1-Map 2 (Area 1),1,Option 1 and Option 2,6a,P2013X0354,3316.45683035,309328.446779
