ENUMBER,CEQR_NUM,the_geom,ULURP_NUM,BOROCODE,TAXBLOCK,TAXLOT,BBL
E-61,95DCP010M,POINT (-74.01047528073273 40.71557065889376),940309 ZMM,1,137,10,1001370010
E-60,95DCP010M,POINT (-74.00961446056112 40.71605972996777),940309 ZMM,1,140,5,1001400005
E-61,95DCP010M,POINT (-74.00961446056112 40.71605972996777),940309 ZMM,1,140,5,1001400005
E-61,95DCP010M,POINT (-74.0077765994052 40.71801853764311),940309 ZMM,1,179,1,1001790001
R-77,05BSA076M,POINT (-74.00743756827451 40.71815689008014),396-04-BZ,1,179,32,1001790032
E-61,95DCP010M,POINT (-74.00986737732886 40.719849298572335),940309 ZMM,1,187,16,1001870016
E-257,10DCP039M,POINT (-74.00619773890679 40.72011774350251),100369zmm,1,190,39,1001900039
E-257,10DCP039M,POINT (-74.00601709369496 40.720066752717685),100369zmm,1,190,41,1001900041
E-257,10DCP039M,POINT (-74.0059919355091 40.71995968792648),100369zmm,1,190,43,1001900043
E-87,97DCP068M,POINT (-74.00818634775479 40.72029950242686),980480 ZMM,1,190,7506,1001907506
E-544,18BSA058M,POINT (-74.00542028897895 40.719311957070566),2017-298-BZ,1,191,8,1001910008
E-257,10DCP039M,POINT (-74.00323762366459 40.719185197829844),100369zmm,1,194,5,1001940005
E-257,10DCP039M,POINT (-74.00351348678863 40.71931167715094),100369zmm,1,194,9,1001940009
E-257,10DCP039M,POINT (-74.0036688009554 40.719382885521895),100369zmm,1,194,11,1001940011
E-257,10DCP039M,POINT (-74.00382441371957 40.719454231450754),100369zmm,1,194,13,1001940013
E-257,10DCP039M,POINT (-74.00392512566752 40.719458908911164),100369zmm,1,194,14,1001940014
E-257,10DCP039M,POINT (-74.00401182760106 40.71951923197347),100369zmm,1,194,15,1001940015
E-257,10DCP039M,POINT (-74.00411066485019 40.71950397835388),100369zmm,1,194,16,1001940016
E-257,10DCP039M,POINT (-74.00377537313179 40.71977312789197),100369zmm,1,194,20,1001940020
