mixedUseAssessmentKey,provalLrsnId,realEstatePropertyCode,assessmentChangeReasonTypeDsc,mixedUseAssessmentDate,commercialLandAmt,commercialImprovementAmt,totalCommercialAmt,residentialLandAmt,residentialImprovementAmt,totalResidentialAmt
3,8773,05031006,,2010-01-01T00:00:00.000Z,123000,186800,309800,273900,193400,467300
7,8773,05031006,01- Annual,2014-01-01T00:00:00.000Z,123000,254900,377900,273900,504300,778200
11,8862,05038013,01- Annual,2013-01-01T00:00:00.000Z,73900,85100,159000,280500,169500,450000
15,8862,05038013,,2011-01-01T00:00:00.000Z,73900,88900,162800,280500,64000,344500
19,9321,05056002,,2010-01-01T00:00:00.000Z,469300,0,469300,2744000,1000,2745000
23,9712,06002031,,2009-01-01T00:00:00.000Z,156500,219000,375500,66000,44800,110800
27,9712,06002031,,2012-01-01T00:00:00.000Z,166500,192800,359300,56000,65400,121400
31,10406,06028015,01- Annual,2014-01-01T00:00:00.000Z,74500,274100,348600,132000,185500,317500
35,10406,06028015,01- Annual,2013-01-01T00:00:00.000Z,74500,258500,333000,132000,96800,228800
39,10855,07006012,,2009-01-01T00:00:00.000Z,451900,571400,1023300,264000,108600,372600
43,10855,07006012,,2012-01-01T00:00:00.000Z,495900,635600,1131500,220000,184800,404800
47,10859,07006016,01- Annual,2016-01-01T00:00:00.000Z,52500,246300,298800,421400,1399800,1821200
51,10859,07006016,,2011-01-01T00:00:00.000Z,48300,192800,241100,367300,777200,1144500
55,10859,07006016,,2008-01-01T00:00:00.000Z,63000,208400,271400,488900,683500,1172400
59,11215,07007037,,2009-01-01T00:00:00.000Z,142500,234500,377000,519300,327200,846500
63,11215,07007037,,2012-01-01T00:00:00.000Z,118800,287700,406500,322600,704400,1027000
67,11215,07007037,01- Annual,2015-01-01T00:00:00.000Z,118800,355400,474200,356600,745000,1101600
71,11406,07012015,,2011-01-01T00:00:00.000Z,376500,24400,400900,110000,99600,209600
75,11406,07012015,,2008-01-01T00:00:00.000Z,354500,13000,367500,132000,81600,213600
79,15138,10028012,,2010-01-01T00:00:00.000Z,164000,484200,648200,336000,21800,357800
83,15138,10028012,01- Annual,2015-01-01T00:00:00.000Z,500000,345200,845200,0,911100,911100
87,15235,10035023,01- Annual,2013-01-01T00:00:00.000Z,1102000,134200,1236200,198000,118300,316300
91,16194,11012006,,2008-01-01T00:00:00.000Z,36200,0,36200,1313800,0,1313800
95,16206,11012020,,2008-01-01T00:00:00.000Z,58500,0,58500,2122700,0,2122700
99,19075,13018009,01- Annual,2018-01-01T00:00:00.000Z,106500,36900,143400,6103300,1623900,7727200
103,19079,13018016,01- Annual,2018-01-01T00:00:00.000Z,34300,29600,63900,1965400,1299100,3264500
107,19601,13031015,01- Annual,2013-01-01T00:00:00.000Z,177500,237800,415300,60000,476900,536900
111,21915,14022010,,2012-01-01T00:00:00.000Z,124600,179700,304300,180000,133700,313700
115,21915,14022010,,2009-12-01T00:00:00.000Z,106600,183200,289800,198000,89800,287800
119,21915,14022010,01- Annual,2015-01-01T00:00:00.000Z,348100,73200,421300,0,298600,298600
123,22483,14032004,01- Annual,2017-01-01T00:00:00.000Z,101400,593600,695000,6511100,23699500,30210600
127,22510,14035005,01- Annual,2013-01-01T00:00:00.000Z,61900,0,61900,3006100,0,3006100
131,22514,14035011,01- Annual,2013-01-01T00:00:00.000Z,41200,0,41200,2004100,0,2004100
135,22519,14035016,01- Annual,2013-01-01T00:00:00.000Z,44200,0,44200,2146400,0,2146400
139,22523,14035021,01- Annual,2013-01-01T00:00:00.000Z,12900,0,12900,626300,0,626300
143,23311,14042574,03- Board of Equalization,2015-11-03T00:00:00.000Z,287700,2186700,2474400,29491000,119712500,149203500
147,23311,14042574,03- Board of Equalization,2016-09-30T00:00:00.000Z,287700,2219100,2506800,31023000,113668800,144691800
151,23311,14042574,01- Annual,2013-01-01T00:00:00.000Z,287700,1786100,2073800,26810000,116931100,143741100
155,23311,14042574,,2011-01-01T00:00:00.000Z,263700,1640900,1904600,22980000,91550300,114530300
159,23343,14045008,,2010-01-01T00:00:00.000Z,1289300,6493700,7783000,28504000,91856700,120360700
163,23343,14045008,,2009-01-01T00:00:00.000Z,1611700,7354300,8966000,33594000,114854700,148448700
167,23343,14045008,01- Annual,2020-01-01T00:00:00.000Z,1746000,9854700,11600700,43774000,145234900,189008900
171,23343,14045008,03- Board of Equalization,2017-08-31T00:00:00.000Z,1611700,7547400,9159100,43774000,112848800,156622800
175,23343,14045008,01- Annual,2015-01-01T00:00:00.000Z,1611700,9397900,11009600,39193000,134474900,173667900
179,23344,14046006,01- Annual,2016-01-01T00:00:00.000Z,18700,0,18700,2818400,0,2818400
183,23344,14046006,01- Annual,2018-01-01T00:00:00.000Z,18700,0,18700,2992400,0,2992400
187,23344,14046006,,2009-01-01T00:00:00.000Z,18700,0,18700,2296500,0,2296500
191,23344,14046006,01- Annual,2020-01-01T00:00:00.000Z,20200,0,20200,2992400,0,2992400
195,23348,14046026,,2010-01-01T00:00:00.000Z,1200,0,1200,150300,0,150300
199,23348,14046026,01- Annual,2019-01-01T00:00:00.000Z,1400,0,1400,230800,0,230800
203,23348,14046026,01- Annual,2015-01-01T00:00:00.000Z,1400,0,1400,206600,0,206600
207,23349,14046027,01- Annual,2014-01-01T00:00:00.000Z,8000,0,8000,1041300,0,1041300
211,23349,14046027,01- Annual,2013-01-01T00:00:00.000Z,8000,0,8000,1041300,0,1041300
215,23349,14046027,,2011-01-01T00:00:00.000Z,7300,0,7300,892500,0,892500
219,23350,14046028,,2012-01-01T00:00:00.000Z,9300,0,9300,1217800,0,1217800
223,23350,14046028,,2008-01-01T00:00:00.000Z,9300,0,9300,1148200,0,1148200
227,23350,14046028,01- Annual,2017-01-01T00:00:00.000Z,9300,0,9300,1496200,0,1496200
231,23351,14046029,01- Annual,2016-01-01T00:00:00.000Z,155800,1290800,1446600,23510100,90163000,113673100
235,23351,14046029,01- Annual,2017-01-01T00:00:00.000Z,155800,1306900,1462700,24961300,91482100,116443400
239,23351,14046029,03- Board of Equalization,2018-09-19T00:00:00.000Z,155800,897200,1053000,24961300,91238700,116200000
243,23351,14046029,,2008-01-01T00:00:00.000Z,155800,1004100,1159900,19156400,76005800,95162200
247,23351,14046029,,2012-01-01T00:00:00.000Z,155800,1087200,1243000,20317400,85940900,106258300
251,23353,14047019,,2012-01-01T00:00:00.000Z,339600,4048800,4388400,23348600,179595400,202944000
255,23353,14047019,,2008-01-01T00:00:00.000Z,339600,4060900,4400500,22014400,151153100,173167500
259,23353,14047019,03- Board of Equalization,2016-09-30T00:00:00.000Z,339600,6688000,7027600,27017600,199063000,226080600
263,23353,14047019,03- Board of Equalization,2015-11-03T00:00:00.000Z,339600,6592400,6932000,25683400,196751900,222435300
267,23354,14047020,01- Annual,2014-01-01T00:00:00.000Z,387300,0,387300,26631400,0,26631400
271,23354,14047020,01- Annual,2013-01-01T00:00:00.000Z,387300,0,387300,26631400,0,26631400
275,23354,14047020,,2011-01-01T00:00:00.000Z,355000,0,355000,22826900,0,22826900
279,23846,14050036,,2011-01-01T00:00:00.000Z,539000,1105800,1644800,26280000,100065900,126345900
283,23846,14050036,01- Annual,2013-01-01T00:00:00.000Z,588000,4302000,4890000,30660000,121763100,152423100
287,23846,14050036,01- Annual,2014-01-01T00:00:00.000Z,588000,2101500,2689500,30660000,135195800,165855800
291,23846,14050036,01- Annual,2017-01-01T00:00:00.000Z,588000,3309900,3897900,37410000,124849300,162259300
295,23850,14051019,01- Annual,2014-01-01T00:00:00.000Z,552000,0,552000,16590000,1000,16591000
299,23850,14051019,01- Annual,2013-01-01T00:00:00.000Z,552000,0,552000,16590000,1000,16591000
303,23850,14051019,,2011-01-01T00:00:00.000Z,506000,0,506000,14220000,1000,14221000
307,24284,14060015,,2009-01-01T00:00:00.000Z,3478000,1000,3479000,2013600,0,2013600
311,24298,14060038,,2009-01-01T00:00:00.000Z,579300,1000,580300,335400,0,335400
315,24313,14060065,,2009-01-01T00:00:00.000Z,801800,0,801800,464200,0,464200
319,25775,15062003,,2012-01-01T00:00:00.000Z,227200,127700,354900,120000,102600,222600
323,25815,15064001,,2010-01-01T00:00:00.000Z,367400,221200,588600,112000,70100,182100
327,25815,15064001,,2008-01-01T00:00:00.000Z,347400,303800,651200,132000,51400,183400
331,25841,15066001,01- Annual,2013-01-01T00:00:00.000Z,464400,420400,884800,120000,104300,224300
335,25841,15066001,01- Annual,2014-01-01T00:00:00.000Z,464400,437100,901500,120000,191300,311300
